key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
c00001c5,c00001c5-107c-4d3d-b0a4-3fde911051d4,567868,,,stupy-001ter,,,,,,,Stupy,Terry,Terry L.,,,,1953,,,,,,1975,1978,,,,,,,,,,,,,,
c0000241,c0000241-2e0f-486f-82d4-1b7c8090f342,458952,,,chaves001bra,,,,,,,Chaves,Brandon,Brandon Francis,,,,1979,8,5,,,,2000,2016,,,,,,,,,,,,,,
c000199f,c000199f-73b2-4901-8de1-562f424b6605,,,,macken000sco,,,,,,,Mackenzie,Scott,Scott,,,,,,,,,,,,,,,,,,,,,,,,,
c000324c,c000324c-fa87-4387-8171-b1877ed3df5c,120314,pavld101,pavledo01,pavlet001don,1010086,,,,,,Pavletich,Don,Donald Stephen,,,,1938,7,13,2020,3,5,1957,1971,1957,1971,,,,,,,,,,,,
c00052d9,c00052d9-24b8-46dd-8b9e-6225e9e9ee7b,,,,woods-000ber,,,,,,,Woods,Bert,Bert,,,,,,,,,,1911,1911,,,,,,,,,,,,,,
c0005689,c0005689-6b27-4ba6-97f1-61e27264fc39,,,,griffi000mit,,,,,,,Griffiths,Mitchell,Mitchell,,,,,,,,,,,,,,2015,2018,,,,,,,,,,
c000c7ed,c000c7ed-618f-4d06-9c23-8d4f75078e68,,,,valito000ty-,,,,,,,Valiton,Ty,Ty,,,,2003,5,24,,,,,,,,,,,,,,,,,,,
c000e251,c000e251-3ae2-4deb-b73d-716ed62df464,,,,hirst-001art,,,,,,,Hirst,Arthur,Arthur Roy,,,,1933,,,,,,1952,1958,,,,,,,,,,,,,,
c0013c73,c0013c73-d3a2-4ff0-917f-6536394e36eb,,,,demey-000chr,,,,,,,Demey,Christopher,Christopher,,,,,,,,,,,,,,2014,2017,,,,,,,,,,
c00173e7,c00173e7-bd08-464b-bb0d-9c83a8544e83,,,,winter000ray,,,,,,,Winter,Raymond,Raymond,,,,,,,,,,,,,,2013,2014,,,,,,,,,,
c001946a,c001946a-7dd6-4ac3-b0ec-5160c53e3dc2,,,,schule001mat,,,,,,,Schuler,Matt,Matt,,,,,,,,,,,,,,2021,2022,,,,,,,,,,
c001a84e,c001a84e-ed36-40a7-9c6a-715c66bca010,699191,,,biggs-000tod,,,,,,,Biggs,Todd,Todd,,,,,,,,,,,,,,,,,,,,,,,,,
c001c775,c001c775-40f7-4b72-b65b-c8373a372a19,,,,breide000tom,,,,,,,Breidenbach,Tom,Tom,,,,,,,,,,,,,,,,,,,,,,,,,
c001cea1,c001cea1-13c1-4110-8bf7-b29a8bea511a,,,,byrd--001fra,,,,,,,Byrd,Frank,Frank,,,,,,,,,,1910,1910,,,,,,,,,,,,,,
c001e1a9,c001e1a9-8cda-4cf0-b604-0838f95fd1ec,,randl901,,randal002lar,,,,,,,Randall,Larry,Larry Wayne,,,,1952,8,13,,,,,,,,,,,,,,,,1995,1995,1995,1995
c001fe6f,c001fe6f-ca23-4a69-88c5-ff05fbbf87cd,,,,dobard001c--,,,,,,,Dobard,Claude,Claude Joseph,,,,1880,1,19,1937,6,25,1907,1909,,,,,1909,1909,,,,,,,,
c0020012,c0020012-3f45-4a58-83e2-df1369e7955b,,,,dudek-000bri,,,,,,,Dudek,Brian,Brian,,,,,,,,,,,,,,2014,2017,,,,,,,,,,
c002195a,c002195a-957d-4cc8-9e74-fc869edb1e67,,,,hartma000mas,,,,,,,Hartman,Mason,Mason,,,,,,,,,,,,,,2020,2022,,,,,,,,,,
c00289ca,c00289ca-e791-4a33-9fb3-c6f3af4496ed,,,,tenney000der,,,,,,,Tenney,Derek,Derek,,,,2001,9,18,,,,,,,,2021,2022,,,,,,,,,,
c002e186,c002e186-c4b2-4ae6-9bf4-fe45a2831a96,,,,lewis-003pey,,,,,,,Lewis,Peyton,Peyton,,,,,,,,,,,,,,2021,2022,,,,,,,,,,
c002f00c,c002f00c-27fc-476c-b013-04104b7797cd,,,,,,,,,,,Hoagland,Chandler,Chandler,,,,,,,,,,,,,,,,,,,,,,,,,
c002fa5c,c002fa5c-deb8-47e8-9cbd-cf88ba5bde55,120979,redej101,rederjo01,reder-001joh,1010749,,,,,,Reder,Johnny,John Anthony,,,,1909,9,24,1990,4,12,1932,1937,1932,1932,,,,,,,,,,,,
c0030925,c0030925-9b68-492a-9bd3-07d7d1253ae5,,,,holsom000hol,,,,,,,Holsomback,Holden,Holden,,,,,,,,,,,,,,2015,2015,,,,,,,,,,
c0033406,c0033406-7e56-4a21-a526-22c6441abd9c,,,,bywals000jak,,,,,,,Bywalski,Jake,Jake,,,,,,,,,,,,,,2016,2016,,,,,,,,,,
c0033b62,c0033b62-0026-4bfb-ba1d-1d877c78ec37,,,,klem--000rya,,,,,,,Klem,Ryan,Ryan,,,,,,,,,,,,,,2012,2012,,,,,,,,,,
c00359de,c00359de-4f72-4c74-95c4-6f288712028f,,,,barton000pay,,,,,,,Barton,Payton,Payton,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
c0035ce7,c0035ce7-e880-4cfa-87ad-9a6297d42ec3,117689,leond103,leonadu02,leonar001emi,1007533,,,,,,Leonard,Dutch,Emil John,,,,1909,3,25,1983,4,17,1930,1953,1933,1953,,,,,,,,,,,,
c0037847,c0037847-42be-4fc0-bf38-b977de57bdb3,,,,crawfo000qui,,,,,,,Crawford,Quinton,Quinton,,,,,,,,,,,,,,2017,2018,,,,,,,,,,
c0038d55,c0038d55-ad05-41bd-9bff-192377716914,,,,weber-001fre,,,,,,,Weber,Fred,Frederick J.,,,,1929,7,30,2017,4,29,1948,1950,,,,,,,,,,,,,,
c003ab49,c003ab49-ad55-4daa-bf48-17703100087e,,,,rummel000rya,,,,,,,Rummel,Ryan,Ryan,,,,,,,,,,,,,,,,,,,,,,,,,
c0040b56,c0040b56-456d-4729-ad37-ae5e3042e77b,,,,murphy002ron,,,,,,,Murphy,Ronald,Ronald W.,,,,1921,1,30,,,,1947,1949,,,,,,,,,,,,,,
c0043aa7,c0043aa7-5f19-43d4-89b4-fe9883f6b0a2,,,,powell004wil,,,,,,,Powell,William,William C.,,,,1912,,,,,,1933,1938,,,,,,,,,,,,,,
c0044b53,c0044b53-167e-4bd4-b5f2-5d73d70ed7e9,,,,eckard000mit,,,,,,,Eckardt,Mitchell,Mitchell,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
c00469c9,c00469c9-9e95-4964-a494-190637db334b,,,,young-003geo,,,,,,,Young,George,George H.,,,,1863,9,6,1908,10,5,1887,1889,,,,,,,,,,,,,,
c0047d58,c0047d58-9332-4fd7-86f6-2f1e47a36e40,,,,moses-000jam,,,,,,,Moses,Jamal,Jamal,,,,,,,,,,,,,,2014,2014,,,,,,,,,,
c004a97c,c004a97c-89ff-484d-8d77-50eb5a9c4213,,,,herron000ril,,,,,,,Herron,Riley,Riley,,,,,,,,,,,,,,2017,2021,,,,,,,,,,
c004c3c6,c004c3c6-012b-4f2b-8323-e0cb8ff82c78,545148,,,martin014lui,,,,,,,Martinez,Luis,Luis,,,,1991,2,5,,,,2008,2009,,,,,,,,,,,,,,
c004c7fc,c004c7fc-a893-4866-bc2f-b600ad87c03f,,,,,,,,,,,Johnson,Raya,Raya,,,,,,,,,,,,,,,,,,,,,,,,,
c004d9bc,c004d9bc-5d1e-40b5-89af-50029d8aaed9,,,,macfar003cha,,,,,,,MacFarlane,Chuck,Charles,,,,1983,1,26,,,,2005,2005,,,,,,,,,,,,,,
c004dbe0,c004dbe0-0b92-43f8-a60c-7bc143a35fe8,,,,godfre001b--,,,,,,,Godfrey,B. S.,B. S.,,,,,,,,,,1908,1908,,,,,,,,,,,,,,
c0055113,c0055113-3d53-4b89-ab63-d8df97dc9199,446619,,,gerlit001goo,,,,,,,Gerlits,Gooby,Gooby,,,,1982,11,17,,,,2001,2006,,,,,,,,,,,,,,
c0055f6e,c0055f6e-42c0-4c1b-bec1-371c490aaf7c,,,,dillon001tho,,,,,,,Dillon,Tom,Thomas E.,,,,,,,,,,1901,1907,,,,,,,,,,,,,,
c00563af,c00563af-b6d7-4a45-b94e-d619e21f7980,,,,fike--001j--,,,,,,,Fike,John,John H.,,,Lefty,1895,10,21,1982,1,8,1916,1921,,,,,,,,,,,,,,
c0056d2c,c0056d2c-6840-4c82-ac03-5d85839060c7,,,,mcbee-000mas,,,,,,,McBee,Mason,Mason,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
c00572fc,c00572fc-46ef-448e-977a-8267a2440f73,,,,doyle-051---,,,,,,,Doyle,,,,,,,,,,,,1918,1918,,,,,,,,,,,,,,
c0058e3c,c0058e3c-6eef-4645-b7ea-b7c038c59440,543296,,,hentge001cha,,,,,,,Hentges,Chase,Chase Alan,,,,1990,5,15,,,,2008,2014,,,,,,,,,,,,,,
c005ea83,c005ea83-aeaf-48d0-a5f7-8e3746051244,,,,crowle000kai,,,,,,,Crowley,Kaiden,Kaiden,,,,,,,,,,,,,,2021,2022,,,,,,,,,,
c005f5a0,c005f5a0-ce1d-4e6f-96d8-b356c571ca48,606471,,,gomez-000mil,,,,,,,Gomez,Milton,Milton Manuel,,Morrobel,,1994,4,22,,,,2011,2015,,,,,,,,,,,,,,
c005fca0,c005fca0-5c5c-42c8-a4a8-6db88a404e55,,,,casey-025---,,,,,,,Casey,,,,,,,,,,,,1907,1907,,,,,,,,,,,,,,
c00613a5,c00613a5-aa7e-4cf9-be46-a7f17ef3a318,,,,hoeffe000noa,,,,,,,Hoeffel,Noah,Noah,,,,,,,,,,,,,,2019,2021,,,,,,,,,,
c006140e,c006140e-f213-4357-a94b-68a9866ec7a5,,,,lanier001p--,,,,,,,Lanier,William,P. William,,,,1915,,,,,,1938,1942,,,,,,,,,,,,,,
c0064ab1,c0064ab1-9ac9-4ce0-8955-cb016091926f,112202,chapk001,chapmke01,chapma002kel,1002150,,,,,,Chapman,Kelvin,Kelvin Keith,,,,1956,6,2,,,,1976,1985,1979,1985,1975,1975,,,,,,,,,,
c0064b1a,c0064b1a-5e23-4b9f-87f8-b1ef7292bba3,,,,tsukam000koj,,71075118,,,,,Tsukamoto,Koji,Koji,,,,1982,1,18,,,,2009,2010,,,,,,,,,,,,,,
c006577d,c006577d-8bef-4a5a-a920-c76535b604a1,,,,gibbon000owe,,,,,,,Gibbons,Owen,Owen,,,,,,,,,,,,,,2015,2018,,,,,,,,,,
c0066dab,c0066dab-20e5-4753-aacb-c0d5ac9ca5ca,,,,stinso000bri,,,,,,,Stinson,Brian,Brian,,,,,,,,,,,,,,2010,2013,,,,,,,,,,
c0071e01,c0071e01-7857-4dc0-b7f0-d4e0ff53beb2,,,,mcgarr000bra,,,,,,,McGarry,Brady,Brady,,,,,,,,,,,,,,2019,2019,,,,,,,,,,
c007303c,c007303c-b639-482e-9cef-440fac9fbadf,,,,mastan000mat,,,,,,,Mastantuono,Matt,Matt,,,,,,,,,,,,,,2014,2017,,,,,,,,,,
c0076390,c0076390-2628-41c4-bab6-301a0f9e50d4,,,,pestan000lui,,,,,,,Pestana,Luis,Luis Gustavo,,Águilar,,,,,,,,1985,1995,,,,,,,,,,,,,,
c007742f,c007742f-2730-47d2-90b7-e5eefb47d172,,,,anders004col,,,,,,,Anderson,Cole,Cole,,,,,,,,,,,,,,2018,2021,,,,,,,,,,
c0078ee1,c0078ee1-6cb1-4930-9cb5-f7471fa737f3,,,,fay---005---,,,,,,,Fay,,,,,,,,,,,,1907,1907,,,,,,,,,,,,,,
c007925b,c007925b-1349-4d5b-bce5-2ba9f6df719e,,,,leonar002dav,,,,,,,Leonard,David,David W.,,,,1918,,,,,,1944,1945,,,,,,,,,,,,,,
c007da21,c007da21-9334-418d-a48f-3a27f99e61f9,698993,,,estrad000jea,,,,,,,Estrada,Jean,Jean Carlos,,Leon,,2004,2,13,,,,2021,2022,,,,,,,,,,,,,,
c008379d,c008379d-17b6-42ac-a29b-0d7870c7ff20,115167,grimc101,grimmch01,grimm-001cha,1005068,,,,,,Grimm,Charlie,Charles John,,,Jolly Cholly,1898,8,28,1983,11,15,1916,1941,1916,1936,,,1932,1960,1932,1960,,,,,,
c0084ffd,c0084ffd-7f94-4349-83c9-fe52cac73133,,,,lugo--000kio,,,,,,,Lugo,Kio,Kio,,,,,,,,,,,,,,2021,2023,,,,,,,,,,
c00857e3,c00857e3-3f1e-4dd0-8d23-5f84a1aa460a,570777,,,jacome001jos,,,,,,,Jacome,Jose,Jose Crisoforo,,Paredes,,1989,3,14,,,,2009,2013,,,,,,,,,,,,,,
c0085b69,c0085b69-1d46-4a2f-9b5d-cb4b173862a0,,,,,,,,,,,Brown,Holly,Holly,,,,,,,,,,,,,,,,,,,,,,,,,
c00882e1,c00882e1-0c5e-4943-a19c-a949f8074b1a,113505,dowdk101,dowdki01,dowd--001jam,1003441,,,,,,Dowd,Skip,James Joseph,,,,1889,2,16,1960,12,20,1910,1915,1910,1910,1907,1910,,,,,,,,,,
c0089087,c0089087-fba9-43c5-ac5e-c6394c75ed68,703920,,,womack000als,,,,,,,Womack,Alsander,Alsander Drake,,,,1999,3,16,,,,2022,2022,,,2018,2021,,,,,,,,,,
