key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
000007d9,000007d9-a2b6-47fd-bc61-e582f190e74a,472542,,,garcia001ado,,,,,,,Garcia,Adolfito,Adolfito,,,,1985,1,31,,,,2006,2008,,,,,,,,,,,,,,
000018b8,000018b8-a25e-45b8-b060-5c4877cb84cc,572962,,,kaupan001ste,,,,,,,Kaupang,Stephen,Stephen,,,,1989,1,20,,,,,,,,,,,,,,,,,,,
00002834,00002834-fa3c-48c4-842a-fc1308cbb4d3,,,,smith-001ado,,,,,,,Smith,Adonis,Adonis,,,,,,,,,,2002,2003,,,,,,,,,,,,,,
00002901,00002901-1af6-4911-abe4-ec261b5f492c,,,,decarl000lou,,,,,,,DeCarlos,Louis,Louis,,,,,,,,,,2016,2016,,,,,,,,,,,,,,
000045b3,000045b3-e249-4d07-becf-dcce89efe4fd,,,,spaine001har,,,,,,,Spaine,Harry,Harry R.,,,,1927,9,26,1996,7,27,1945,1951,,,,,,,,,,,,,,
00006177,00006177-b93e-4c52-83e5-f476d37dec51,,,,battle001elg,,,,,,,Battles,Elgin,Elgin Eric,,,,1955,10,3,,,,1973,1974,,,,,,,,,,,,,,
00007bd0,00007bd0-400d-47fa-87dc-6b3ae712b9d0,,,,desous000jam,,,,,,,De Sousa,James,James,,,,,,,,,,,,,,2019,2021,,,,,,,,,,
0000815e,0000815e-3df8-4d0d-b71e-7ac13f0d981d,,,,burr--001rob,,,,,,,Burr,Bob,Bob Merle,,,,1935,,,,,,1958,1958,,,,,,,,,,,,,,
000096d4,000096d4-cd1d-4ab8-81ce-1deec440a236,,,,,,,,,,,Renaud,Taylor,Taylor,,,,,,,,,,,,,,,,,,,,,,,,,
0000ba28,0000ba28-843a-460a-8aca-b869629160b9,,,,love--001jac,,,,,,80718185,Love,Jack,Jackson,,,,1881,4,5,1918,12,29,1905,1916,,,,,1906,1916,,,,,,,,
