key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
1000292b,1000292b-6d86-4f5c-8ecc-3fe8e10ac7da,,,,kyser-000chr,,,,,,,Kyser,Chris,Chris,,,,,,,,,,,,,,2013,2014,,,,,,,,,,
1000344e,1000344e-047e-4313-9cdd-2eecd0e56956,440217,,,piniel001jua,,,,,,,Piniella,Juan,Juan Manuel,,,,1978,3,13,,,,1996,2004,,,,,,,,,,,,,,
10004ca6,10004ca6-6be2-455e-b67a-795d5c8674f1,622449,,,suarez000wes,,,,,,,Suarez,Wester,Wester Ramon,,De La Cruz,,1994,11,10,,,,2012,2013,,,,,,,,,,,,,,
10005e4e,10005e4e-e78b-460c-b48f-80e8f427197f,,,,morale003---,,,,,,,Morales,,,,,,,,,,,,1951,1951,,,,,,,,,,,,,,
1000844b,1000844b-48a2-4d15-92de-c8c3d45f167e,456744,schrc001,schroch01,schrod001chr,3553,,,,,,Schroder,Chris,Christopher Keith,,,,1978,8,20,,,,2001,2010,2006,2008,1998,2001,,,,,,,,,,
100098b3,100098b3-62f0-4b37-b3cb-4e10d4312518,,,,alford001jam,,,,,,,Alford,James,James B.,,,,,,,,,,1945,1945,,,,,,,,,,,,,,
10009d2a,10009d2a-576b-4a99-b262-1768bf7958b6,,,,white-018joh,,,,,,,White,John,John Stone,,,,,,,,,,1939,1939,,,,,,,,,,,,,,
1000cb42,1000cb42-da70-45f4-9b0e-0611b6d06986,460634,,,pape--001sta,,,,,,,Pape,Stace,Stace W.,,,,1977,8,3,,,,2000,2002,,,,,,,,,,,,,,
1000d793,1000d793-5af8-4f08-9081-c429c48c2b10,,,,balos-000pet,,,,,,,Balos,Peter,Peter,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
1000dcad,1000dcad-b2db-48ab-afb5-8b8975f6da16,,,,karpin001mic,,,,,,,Karpinski,Michael,Michael,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
10011568,10011568-19e6-4ead-955c-5463a3de43d8,,,,gwyn--001how,,,,,,,Gwyn,Howard,Howard,,,,,,,,,,1904,1904,,,,,,,,,,,,,,
10013479,10013479-c491-4091-a0a0-a8439ed6ca64,,,,buck--001art,,,,,,,Buck,Arthur,Arthur,,,,,,,,,,1907,1907,,,,,,,,,,,,,,
100144c5,100144c5-9b7b-4e08-85f9-3e6993454aeb,594874,,,jurik-001dan,,,,,,,Jurik,Dan,Daniel J.,,,,1987,6,18,,,,2010,2013,,,,,,,,,,,,,,
