key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
e00012c7,e00012c7-872e-475c-9c47-97c2bd6fa48a,520870,,,riddle001rya,,,,,,,Riddle,Ryan,David Ryan,,,,1985,6,10,,,,2007,2012,,,,,,,,,,,,,,
e0005781,e0005781-9ae6-4bfe-83cf-ac899b39eb95,657788,,,vela--000osv,,,,,,,Vela,Ivan,Osvaldo Ivan,,,,1992,9,15,,,,2014,2015,,,,,,,,,,,,,,
e00063a2,e00063a2-6fcd-4dee-9f4f-4eb3fdb44b5c,,,hendehe01,hender000lon,,,,,,,Henderson,Henry,Henry,,,Slim; Long,1905,5,1,1980,8,8,1932,1932,1932,1932,,,,,,,,,,,,
e00069a5,e00069a5-99f5-4b43-908d-41443f1eb6bc,,,,needha001ben,,,,,,,Needham,Bennett,Bennett A.,,,,1916,,,,,,1937,1938,,,,,,,,,,,,,,
e00098f9,e00098f9-a30e-4773-b660-35cf9a6b0bd3,,,,lee---001kar,,,,,,,Lee,Karson,Karson,,,,,,,,,,,,,,2023,2023,,,,,,,,,,
e000c5d4,e000c5d4-40a7-46c7-bff0-220655fce118,,,,morris001a--,,,,,,,Morris,Bugs,Asbury Bratten,,,,1900,4,13,1983,5,4,1922,1924,,,,,,,,,,,,,,
e000d048,e000d048-f0fb-4811-a4d6-39b0015764bc,,,,morjos001jos,,,,,,,Morjoseph,Joseph,Joseph Eli,,,,1920,,,,,,1939,1950,,,,,,,,,,,,,,
e0010670,e0010670-7ee3-406a-a822-0dfc303f192a,,,,ginsli001dar,,,,,,,Ginslinger,Darrel,Darrel,,,,,,,,,,1937,1937,,,,,,,,,,,,,,
e0011dd7,e0011dd7-5e9b-40fe-9106-3348690c9a52,,,,benson000dyl,,,,,,,Benson,Dylan,Dylan,,,,,,,,,,,,,,2017,2018,,,,,,,,,,
e0014b84,e0014b84-b713-46f8-85ba-ba9988d594a7,,,,arends000ari,,,,,,,Arends,Aric,Aric,,,,,,,,,,,,,,2018,2018,,,,,,,,,,
e001511e,e001511e-5abb-4df0-8472-185cedc9c368,,,,lightf000col,,,,,,,Lightfoot,Cole,Cole,,,,,,,,,,,,,,2019,2019,,,,,,,,,,
e0017b3d,e0017b3d-76cf-415d-bfdd-6e2fcc518a0d,,,,lewis-000dre,,,,,,,Lewis,Drew,Drew,,,,,,,,,,,,,,2019,2019,,,,,,,,,,
e0018334,e0018334-a3e1-4b27-a6fd-c2b9c2dcd542,,,,oiler-000mic,,,,,,,Oiler,Michael,Michael,,,,,,,,,,,,,,,,,,,,,,,,,
e0019432,e0019432-30cb-4226-98b0-d1b1becbbea3,,,,marina001joh,,,,,,,Marinaccio,John,John R.,,,,1924,9,10,2016,11,19,1944,1946,,,,,,,,,,,,,,
e001db13,e001db13-aab4-4b67-ac53-bec8656455e5,,,,tyra--001joh,,,,,,,Tyra,John,John W.,,,,1939,,,,,,1960,1960,,,,,,,,,,,,,,
e001e816,e001e816-984b-48af-9dee-db16d58e9fd6,,,,burns-004edw,,,,,,,Burns,Edward,Edward,,,,,,,,,,1946,1947,,,,,,,,,,,,,,
e0020d87,e0020d87-cb79-462a-a144-edb9e415f81d,543824,,,stolz-001jas,,,,,,,Stolz,Jason,Jason Evan,,,,1990,3,21,,,,2012,2013,,,2009,2012,,,,,,,,,,
e0022346,e0022346-b403-4f3d-92ac-8f42f9187596,448584,,,ross--001mic,,,,,,,Ross,Mike,Michael J.,,,,1965,10,14,,,,1988,1992,,,,,,,,,,,,,,
e00235d1,e00235d1-e5c2-4852-890b-9abe316dbbeb,,,,rakow-000con,,,,,,,Rakow,Connor,Connor,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
e0028897,e0028897-b77c-4f22-a50d-d918aa040c78,,,,pitts-001e--,,,,,,,Pitts,Jack,E. Jack,,,,,,,,,,1941,1941,,,,,,,,,,,,,,
e002abd1,e002abd1-26f2-4238-9f84-da8bb3cf6c99,,,,elmore001a--,,,,,,,Elmore,A. C.,A. C.,,,,,,,,,,1928,1929,,,,,,,,,,,,,,
e002cb9e,e002cb9e-e56d-4eee-aa4e-ae3cca96f02d,,,,duckwo000sea,,,,,,,Duckworth,Sean,Sean,,,,,,,,,,,,,,2013,2013,,,,,,,,,,
e002d099,e002d099-67a2-49d4-ba40-6e0b428cf4b0,,,,spurli000jor,,,,,,,Spurling,Jordan,Jordan,,,,,,,,,,,,,,2017,2018,,,,,,,,,,
e002f220,e002f220-2eff-4560-8a09-d6cac0bc029e,121189,riddj101,riddljo02,riddle004joh,1010948,,,,,,Riddle,Johnny,John Ludy,,,Mutt,1905,10,3,1998,12,15,1927,1948,1930,1948,,,1942,1944,,,,,,,,
e002f5e9,e002f5e9-2016-495a-b4ef-0bf90726810b,,,,wano--001geo,,,,,,,Wano,George,George,,,Chief,,,,,,,1937,1938,,,,,,,,,,,,,,
e0032c01,e0032c01-873f-469c-9067-30d3507729a3,,,,montes000ede,,,,,,,Montesino,Edelso,Edelso,,Magdaleno,,,,,,,,2018,2019,,,,,,,,,,,,,,
e0032c9e,e0032c9e-8597-45e0-b788-e1d4b9c6d7b4,,,,zender001ric,,,,,,,Zender,Dick,Richard Anthony,,,,1922,11,27,2014,6,3,1942,1948,,,,,,,,,,,,,,
e00348d3,e00348d3-1d37-49cc-b6af-78d8633146df,,,,wright003aus,,,,,,,Wright,Austin,Austin,,,,,,,,,,,,,,2023,2023,,,,,,,,,,
e0037377,e0037377-a3f4-4a68-8f7c-61999f98fe68,501465,,,tavare001dau,,,,,,,Tavarez,Daurin,Daurin Leandro,,Candelario,,1989,2,8,,,,2006,2010,,,,,,,,,,,,,,
e003933d,e003933d-f9b0-4985-8851-7b7916dc113d,,,colesra01,cole--000ral,,,,,,,Coles,Ralph,Ralph Herman,,,Punjab; Askari,1913,6,26,1984,7,8,1939,1941,1939,1941,,,,,,,,,,,,
e003ad05,e003ad05-fe5d-44f5-acba-de5b0acecc66,,,,knauth000kyl,,,,,,,Knauth,Kyle,Kyle,,,,1995,11,28,,,,,,,,2015,2018,,,,,,,,,,
e003b93e,e003b93e-741f-4f6f-b59c-ca95f3eb1983,,,,desane000ant,,,,,,,DeSane,Anthony,Anthony,,,,,,,,,,,,,,,,,,,,,,,,,
e003d83f,e003d83f-0061-494a-8bc3-1e880c2736bf,,,,curtis002bra,,,,,,,Curtis,Brayden,Brayden,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
e003fbbf,e003fbbf-0d41-4bda-9d21-6ea69f78a9cf,686309,,,rivera008jua,,,,,,,Rivera,Juan,Juan Francisco,,Gomera,,1998,6,4,,,,2019,2022,,,,,,,,,,,,,,
e0041666,e0041666-4004-4ac5-9eef-d86def644797,,,,moreno000yen,,,,,,,Moreno,Yeinier,Yeinier,,Sánchez,,,,,,,,2014,2014,,,,,,,,,,,,,,
e0041b7c,e0041b7c-ee44-432b-bc42-7c3434da20f4,,,,velasq000man,,,,,,,Velasquez,Manny,Manny,,,,,,,,,,,,,,2015,2016,,,,,,,,,,
e0048acf,e0048acf-70af-4b2d-a0e6-49d4f21a369c,,,,jones-134---,,,,,,,Jones,,,,,,,,,,,,1949,1949,,,,,,,,,,,,,,
