key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
300059d1,300059d1-ccda-4cbb-a852-7d1ce5874686,,,,budde-001alf,,,,,,,Budde,Alfred,Alfred J.,,,,,,,,,,1952,1954,,,,,,,,,,,,,,
30005e29,30005e29-573e-4b6a-a8f4-5f3c90696ced,,,,fuss--001rob,,,,,,212138425,Fuss,Robert,Robert Francis,,,,1903,7,18,1975,2,,1927,1932,,,,,,,,,,,,,,
30009915,30009915-3a1d-418f-8b37-e871e9e894f0,,,,miller011a--,,,,,,,Miller,A.,A.,,,,,,,,,,1937,1937,,,,,,,,,,,,,,
3000a527,3000a527-de15-442e-b93d-acbc2c0e2078,,,,adorno000jus,,,,,,,Adorno,Justin,Justin,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
3000a828,3000a828-57f8-4112-85f9-6023c86b8bc6,,,,meadow000log,,,,,,,Meadows,Logan,Logan,,,,1995,8,20,,,,,,,,2019,2019,,,,,,,,,,
3000c1d1,3000c1d1-a686-4fd9-a5a6-b52dfdc4b33b,,,,byrd--011---,,,,,,,Byrd,,,,,,,,,,,,1908,1908,,,,,,,,,,,,,,
3000d502,3000d502-2f29-4799-8261-c70b1f7f0bee,,,,peters002all,,,,,,,Peterson,Pete,Allen Keith,,,,1932,12,4,2018,6,6,1955,1958,,,,,,,,,,,,,,
3000ff8f,3000ff8f-c57c-4366-8ff7-f8ebc3c86277,,,,pryor-000per,,,,,,,Pryor,Perry,Perry,,,,,,,,,,,,,,,,,,,,,,,,,
30011327,30011327-0852-4e18-902a-b71d75b46431,,,,luckma000sid,,,LuckSi00,,,,Luckman,Sid,Sidney,,,,1916,11,21,1998,7,5,,,,,1937,1937,,,,,,,,,,
30017050,30017050-b207-4c9a-a0ba-936164697cd1,,,,heuck-000rob,,,,,,,Heuck,Robert,Robert,,,,,,,,,,,,,,,,,,,,,,,,,
30018878,30018878-aa91-472c-aabd-7d1219492ad1,,,,olsen-003joh,,,,,,,Olsen,John,John,,,,,,,,,,,,,,,,,,,,,,,,,
3001d5fd,3001d5fd-b699-43ea-9e70-ad319f84a587,595126,,,beacom001mit,,,,,,,Beacom,Mitchell,Mitchell Ray,,,,1989,7,4,,,,2012,2012,,,2009,2011,,,,,,,,,,
3001e1ef,3001e1ef-a333-4e59-87ce-f2cb9a096390,,,,harris003jus,,,,,,,Harris,Justin,Justin,,,,,,,,,,,,,,,,,,,,,,,,,
30020709,30020709-a96a-4d18-8fd1-1a7b630a4417,,,,donald021---,,,,,,,Donald,,,,,,,,,,,,1904,1904,,,,,,,,,,,,,,
30020905,30020905-d9d4-4d34-8ba3-89274394617f,,,,mcarth000col,,,,,,,McArthur,Cole,Cole,,,,,,,,,,,,,,2014,2015,,,,,,,,,,
30021f73,30021f73-61a9-4a10-a6d3-48ce24780da1,622198,,,edward000sly,,,,,,,Edwards,Sly,Sly Anthony-Bruce,,,,1993,9,22,,,,,,,,2013,2016,,,,,,,,,,
300227b9,300227b9-5b7c-4e54-902e-9739f42ac66b,,,,kelly-001tim,,,,,,,Kelly,Timothy,Timothy Stephen,,,,1955,,,,,,1976,1978,,,,,,,,,,,,,,
3002338e,3002338e-fc05-450a-83fe-a2d8d24b4962,,,,osborn001ric,,,,,,,Osborne,Richard,Richard Charles,,,,1945,,,,,,1963,1964,,,,,,,,,,,,,,
300257ee,300257ee-864a-482d-845c-f8f02aba9805,562411,,,martin001rod,,,,,,,Martin,Rodney,Rodney W.,,,,1961,,,,,,1983,1983,,,,,,,,,,,,,,
30029b90,30029b90-7a7d-472e-afe8-03614ee56b49,,,,bottsf001cha,,,,,,,Botsford,Charles,Charles,,,,,,,,,,1904,1906,,,,,,,,,,,,,,
3002b36d,3002b36d-ee36-4f6f-802d-634de9c1dfb0,593771,,,hurtad001osc,,,,,,,Hurtado,Oscar,Oscar Asir,,Rodriguez,,1988,10,26,,,,2010,2022,,,,,,,,,,,,,,
3002b651,3002b651-a2d4-41a4-bf6b-4c3a1a623783,549884,,,marque001seb,,,,,,,Marquez,Sebastian,Sebastian,,Cruz,,1987,4,11,,,,2009,2009,,,,,,,,,,,,,,
3003141c,3003141c-20c9-4606-b631-eaef14039079,,,,wright008dav,,,,,,,Wright,David,David,,,,,,,,,,,,,,2015,2016,,,,,,,,,,
30032925,30032925-bbf7-4629-97e0-46623e44f51a,505810,,,greer-000har,,,,,,,Greer,Harry,Harry,,,,,,,,,,,,,,,,,,,,,,2011,2011,,
30035bf0,30035bf0-e73c-4d6a-a508-25906f5ff7ca,,,,muelle002bre,,,,,,,Mueller,Brett,Brett,,,,1993,1,30,,,,,,,,2012,2015,,,,,,,,,,
30037f8a,30037f8a-fa04-4761-b9d5-970efc6e2314,111296,bowlg101,bowlegr01,bowler001gra,1001260,,,,,,Bowler,Grant,Grant Tierney,,,Moose,1907,10,24,1968,6,25,1930,1935,1931,1932,,,,,,,,,,,,
3003e17f,3003e17f-0423-4bfc-824a-9931933b93c9,,,,foster001joe,,,,,,,Foster,Joe,Joe,,,,,,,,,,1914,1914,,,,,,,,,,,,,,
3003ef12,3003ef12-d564-4888-a006-b5ee94297760,,,,ellis-002dre,,,,,,,Ellis,Drew,Drew,,,,,,,,,,,,,,2018,2020,,,,,,,,,,
