key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
f00018f8,f00018f8-8e83-4eea-a5df-07651729c1f8,,,,,,,,,,,Antone,Serena,Serena,,,,,,,,,,,,,,,,,,,,,,,,,
f00026dc,f00026dc-4181-42b2-911c-b9a585ea8b41,,,,burge-000par,,,,,,,Burge,Parker,Parker,,,,,,,,,,,,,,2020,2021,,,,,,,,,,
f0008b50,f0008b50-9529-4a1e-b4f8-ee6a1be7f2d1,,,,nelson002dou,,,,,,,Nelson,Douglas,Douglas M.,,,,1963,,,,,,1985,1985,,,,,,,,,,,,,,
f0009210,f0009210-d5a6-492b-86f1-a61f83d0b710,682521,,,rich--000jos,,,,,,,Rich,Josh,Joshua Claude,,,,1996,2,26,,,,2018,2018,,,2016,2018,,,,,,,,,,
f0009c22,f0009c22-b8ff-42d3-86ed-4f6bf1fb4d8b,701856,,,hallig000pat,,,,,,,Halligan,Patrick,Patrick,,,,1999,10,4,,,,2021,2022,,,2019,2020,,,,,,,,,,
f0009ceb,f0009ceb-a5f3-42fb-8d23-2665e189637d,,,,moffat000mik,,,,,,,Moffatt,Mike,Mike,,,,1996,8,28,,,,,,,,2015,2018,,,,,,,,,,
f000b27b,f000b27b-14e7-41cb-a416-d3e9321b325d,663489,,,stewar010wil,,,,,,,Stewart,Will,William A.,,,,1997,7,14,,,,2015,2022,,,,,,,,,,,,,,
f000cf90,f000cf90-27ae-449f-b7bf-790324a3c6e4,,,,montan000jrh,,,,,,,Montana,J Rhet,J Rhet,,,,,,,,,,,,,,2012,2012,,,,,,,,,,
f0011562,f0011562-7f3e-44f3-b63b-0c75cbc1b9a6,,,,kress-000jus,,,,,,,Kress,Justin,Justin,,,,,,,,,,,,,,2017,2017,,,,,,,,,,
f0014b4b,f0014b4b-bde3-47b4-aecf-4758ff9371c8,,,,hall--058---,,,,,,,Hall,,,,,,,,,,,,1930,1930,,,,,,,,,,,,,,
f0015f04,f0015f04-18b8-4f07-8ad1-2a10e0213eb0,,,,martin002ern,,,,,,,Martínez,Ernesto,Ernesto,,Bonet,,,,,,,,1994,2004,,,,,,,,,,,,,,
f001670b,f001670b-fc65-4da5-a5f5-a00b8d9ed8d5,,,,schult001pau,,,,,,,Schulte,Paul,Paul Arthur,,,Buzz,1934,3,13,,,,1952,1957,,,,,,,,,,,,,,
f0018745,f0018745-65f3-44c8-936c-508a9794eb96,,,,flores000set,,,,,,,Flores,Seth,Seth,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
f001c748,f001c748-cec5-47e1-95df-d5c492936f5b,,,,cecils001---,,,,,,,Cecils,,,,,,,,,,,,1941,1941,,,,,,,,,,,,,,
f001e3cf,f001e3cf-fded-4b5b-96d4-42651840891e,,,,whelan000col,,,,,,,Whelan,Colin,Colin,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
f0023531,f0023531-c32c-420f-8e50-47244d69760e,,,,hidalg000mig,,,,,,,Hidalgo,Miguel,Miguel,,,,,,,,,,,,,,2011,2011,,,,,,,,,,
f0026b08,f0026b08-f190-49a5-91e0-961de9c244bd,572885,,,gourle001joh,,,,,,,Gourley,Walker,John Walker,,,,1991,6,28,,,,2009,2014,,,,,,,,,,,,,,
f0026d9b,f0026d9b-b89a-43b3-bfd3-4c67c446b272,,,,,,,,,,,Zuberer,Ashlyn,Ashlyn,,,,,,,,,,,,,,,,,,,,,,,,,
f002cbe4,f002cbe4-e8ed-4918-9e37-0680d57d1df5,654957,,,maturi000fra,,,,,,,Maturin,Francisco,Francisco Javier,,Fuentes,,1993,3,5,,,,2014,2014,,,,,,,,,,,,,,
f002cd19,f002cd19-8be8-4ff6-a6ff-e1a1ef580d68,,,,martin011ale,,,,,,,Martínez,Alexander,Alexander,,Núñez,,,,,,,,2014,2014,,,,,,,,,,,,,,
f00309ed,f00309ed-b90c-44a4-9356-c5c6e66ec2f7,,,,,,,,,,,Thurman,Breanna,Breanna,,,,,,,,,,,,,,,,,,,,,,,,,
f0031a89,f0031a89-ac83-48cc-b815-047c5c3b7498,,,,lopez-000emm,,,,,,,Lopez,Emmanuel,Emmanuel,,,,,,,,,,,,,,,,,,,,,,,,,
f00321a2,f00321a2-0488-4925-a1d6-38c2b9921c93,,,,dubose001jes,,,,,,,DuBose,Jesse,Jesse James,,,,1945,11,11,,,,1966,1969,,,,,,,,,,,,,,
f003273c,f003273c-cb91-4e57-b1f6-fe4115e01fd8,,,,paolo-000dom,,,,,,,Paolo,Dominic,Dominic,,,,,,,,,,,,,,2018,2020,,,,,,,,,,
f003323b,f003323b-d4be-401c-b5c9-68562c669815,,,,ryu---000tak,,,,,,,Ryu,Takayuki,Takayuki,,,,1941,11,25,,,,1964,1968,,,,,,,,,,,,,,
f003395a,f003395a-bebe-46d2-80c0-d92a8e6bc8b2,,,,casias000c--,,,,,,,Casias,C.,C.,,,,,,,,,,,,,,2017,2017,,,,,,,,,,
f003574e,f003574e-7407-4944-95a0-86abe6ef3893,,,,chang-001shu,,,,,,,Chang,Shuo,Shuo,,,,1990,4,13,,,,,,,,,,,,,,,,,,,
f003ddf7,f003ddf7-39f7-4cbf-a7ac-502efd24b754,,,,garcia053jos,,,,,,,Garcia,Jose-Luis,Jose-Luis,,,,,,,,,,,,,,2010,2013,,,,,,,,,,
f003f851,f003f851-a12d-4d13-89df-d244cb7e2104,,,,bauhs-001---,,,,,,,Bauhs,,,,,,,,,,,,1926,1926,,,,,,,,,,,,,,
f004457a,f004457a-bf7e-421f-8238-e78a57e44114,471538,,,pachec001dom,,,,,,,Pacheco,Domingo,Domingo,,,,1978,11,8,,,,1996,1998,,,,,,,,,,,,,,
f00456e7,f00456e7-a8df-4db5-b2f7-07cdbee03603,430885,,,chavez001wil,,,,,,,Chavez,Wilton,Wilton Antonio,,,,1978,6,13,,,,1999,2011,,,,,,,,,,,,,,
f004a7cc,f004a7cc-4ae3-43f8-a3d7-ef37442ccf3c,,,,orourk001tim,,,,,,,O'Rourke,Tim,Timothy,,,,,,,,,,1901,1904,,,,,,,,,,,,,,
f004cf55,f004cf55-efdf-4809-b17c-f97426566cfa,592134,,,bean--001rya,,,,,,,Bean,Ryan,Ryan J.,,,,1990,3,9,,,,2010,2013,,,,,,,,,,,,,,
f005148e,f005148e-f8ae-4466-b718-734a2379b55e,,,,capote000laz,,,,,,,Capote,Lázaro,Lázaro,,Rondón,,,,,,,,1995,1997,,,,,,,,,,,,,,
f0051bf2,f0051bf2-de6c-496b-b481-2b15bf373892,672801,,,noguer000lui,,,,,,,Noguera,Luis,Luis Javier,,Rumbos,,2000,3,20,,,,2017,2018,,,,,,,,,,,,,,
f0054f63,f0054f63-df8f-400d-8172-2f5518c1652c,,,,terrel001jos,,,,,,,Terrell,Joseph,Joseph L.,,,,,,,,,,1948,1948,,,,,,,,,,,,,,
f0057368,f0057368-630e-4166-9764-f3c0aaa87101,,,,arp---000nat,,,,,,,Arp,Nathan,Nathan,,,,,,,,,,,,,,2015,2015,,,,,,,,,,
f00573b5,f00573b5-5cce-4a81-8245-98b0e0475369,,,,hook--000jac,,,,,,,Hook,Jack,Jack,,,,,,,,,,,,,,2019,2021,,,,,,,,,,
f00573be,f00573be-ddee-47b6-9cad-b080347a26df,,,,albrig001a--,,,,,,,Albright,A. A.,A. A.,,,,1920,,,,,,1942,1942,,,,,,,,,,,,,,
f005f783,f005f783-ce6e-4c89-8237-e6a486c74218,592167,,,brewst000tra,,,,,,,Brewster,Travis,Travis Edward,,,,1992,1,21,,,,2014,2015,,,,,,,,,,,,,,
f005fb32,f005fb32-ab8e-4170-9c0d-d5c2c34f0388,,,,christ036---,,,,,,,Christener,,,,,,,,,,,,1913,1913,,,,,,,,,,,,,,
f005feea,f005feea-58bd-412e-a7fb-7d1ede433d06,,,,lyons-002tyl,,,,,,,Lyons,Tyler,Tyler,,,,,,,,,,,,,,2019,2022,,,,,,,,,,
f006146c,f006146c-9082-42b6-bc5a-165fcd0f2245,,,,veser-001fre,,,,,,,Veser,Fred,Fred,,,,,,,,,,1941,1941,,,,,,,,,,,,,,
f0063e9f,f0063e9f-9544-44d8-bfff-5a2c2f1207c6,664326,,,martin004den,,,,,,,Martinez,Denny,Denny Xaviel,,Marcano,,1996,11,1,,,,2015,2018,,,,,,,,,,,,,,
f00659ac,f00659ac-a618-41ae-9dd3-442c3329fef1,,,,cunnin000ty-,,,,,,,Cunningham,Ty,Ty,,,,,,,,,,,,,,2023,2023,,,,,,,,,,
f0065beb,f0065beb-9e91-4589-9b41-a7c5248039a0,113922,etheb101,etherbo01,etheri001bob,1003847,,,,,,Etheridge,Bobby,Bobby Lamar,,,Luke,1942,11,25,2015,9,19,1964,1973,1967,1969,1961,1962,,,,,,,,,,
f0068d55,f0068d55-d85f-4c94-aa9d-e14c9b690b31,,,,taormi001jos,,,,,,,Taormina,Joseph,Joseph M.,,,,1941,,,,,,1963,1965,,,,,,,,,,,,,,
f006b1b0,f006b1b0-abfa-4aa3-b042-db58d21992b3,,,,small-002jos,,,,,,,Small,Josh,Josh,,,,,,,,,,,,,,2017,2021,,,,,,,,,,
f006da67,f006da67-eb92-4361-8913-4ae8ca942832,,,,cichoc000hae,,,,,,,Cichocki,Haeven,Haeven,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
f006edaa,f006edaa-f8a8-4300-88e8-a3cf63738d44,,,,coutts001---,,,,,,,Coutts,,,,,,,,,,,,1916,1916,,,,,,,,,,,,,,
