key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
70000be8,70000be8-5293-4d53-9f66-70d521bd8acd,,,,katali000ed-,,,,,,,Katalinas,Ed,Edward J.,,,,1910,9,15,1988,5,17,,,,,,,,,,,,,,,,
7000226c,7000226c-7cb3-49be-a02c-d93c694912b5,,,,hagel-001ken,,,,,,,Hagel,Kenneth,Kenneth,,,,,,,,,,,,,,,,1919,1919,,,,,,,,
700094ae,700094ae-7086-4e21-bdbb-ac2deea9f351,,,,wakai-000mar,,,,,,,Wakai,Mark,Mark,,,,,,,,,,,,,,,,,,,,,,,,,
7000e262,7000e262-aaa5-4389-8d99-e9ed03763454,,,,nagaha000tak,,,,,,,Nagahara,Koji,Koji,,,,1927,3,8,,,,1947,1948,,,,,,,,,,,,,,
7000f80c,7000f80c-72af-44a0-a1a9-b6dac272af9a,,,,strapp000dj-,,,,,,,Strapp,DJ,DJ,,,,,,,,,,,,,,2016,2016,,,,,,,,,,
7001c620,7001c620-3600-427f-a79e-92c2b37e10a9,532071,,,osuna-002ale,,,,,,,Osuna,Alexis,Alexis,,,,1976,12,7,,,,2001,2003,,,,,,,,,,,,,,
70025973,70025973-9333-49f8-8092-92cd05a87793,,,,fite--000bil,,,,,,,Fite,Bill,Billy Gene,Sr.,,,1930,2,17,2020,9,18,1949,1949,,,,,,,,,,,,,,
70028248,70028248-93f4-4eac-9863-d3ef65a3a899,,,,dotson000der,,,,,,,Dotson,Derian,Derian,,,,,,,,,,,,,,2002,2003,,,,,,,,,,
70028554,70028554-a449-4931-a35b-2dedaf5b5479,,,,,,,,,,,Grant,Mariah,Mariah,,,,,,,,,,,,,,,,,,,,,,,,,
7002abd0,7002abd0-dc65-413a-b793-61929558c33c,,,,hayes-054---,,,,,,,Hayes,,,,,,,,,,,,1908,1908,,,,,,,,,,,,,,
700322ed,700322ed-b65a-442a-a959-3d6800c119cb,,,,hutchi001lou,,,,,,,Hutchinson,Louis,Louis,,,,,,,,,,1913,1913,,,,,,,,,,,,,,
70032779,70032779-003e-4f08-8d05-caead135915f,,,,smith-013h--,,,,,,,Smith,H.,H.,,,,,,,,,,1936,1936,,,,,,,,,,,,,,
70032b02,70032b02-4a7a-427f-8e23-a9de61f15bf4,701512,,,novotn000tuc,,,,,,,Novotny,Tucker,Tucker Jay,,,,2002,11,22,,,,,,,,2022,2022,,,,,,,,,,
700357eb,700357eb-2a83-4779-b65a-963b2e7f99ea,,,,robert006joh,,,,,,,Roberts,John,John V.,,,,,,,,,,1938,1938,,,,,,,,,,,,,,
7003647f,7003647f-d8b4-46f6-a4bb-0094db7c8cd9,528664,,,canale001jul,,,,,,,Canales,Julio,Julio,,Chavez,,1985,5,13,,,,2004,2004,,,,,,,,,,,,,,
7003a693,7003a693-ef76-47d4-83ef-d4d6c87892bf,,,,rudolp002fre,,,,,,,Rudolph,Freddy,Freddy,,,,,,,,,,2007,2011,,,,,,,,,,,,,,
70041d66,70041d66-9246-4d09-9384-a2209727e262,,,,southe001dan,,,,,,,Southern,Daniel,Daniel,,,,,,,,,,,,,,2020,2020,,,,,,,,,,
7004baca,7004baca-eb6f-4fbc-b6d4-5623e933c9c6,,,,west--001ber,,,,,,,West,Bert,Bert,,,,,,,,,,1908,1912,,,,,,,,,,,,,,
7004cd54,7004cd54-65c3-403a-87c5-5464a89286f5,,,,smith-025rob,,,,,,,Smith,Robert,Robert I.,,,,,,,,,,1950,1950,,,,,,,,,,,,,,
70050843,70050843-d21d-4770-a3b6-9f18009b8e65,,,,crusen000tri,,,,,,,Crusenberry,Tristin,Tristin,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
70051325,70051325-1c69-4666-8bc2-84030c836e77,,,,brown-267---,,,,,,,Brown,,,,,,,,,,,,1911,1911,,,,,,,,,,,,,,
70051ce3,70051ce3-d498-4d10-accf-57c35e855ae7,448599,,,philli001rya,,,,,,,Phillips,Ryan,Ryan Quincy,,,,1984,5,29,,,,2005,2007,,,,,,,,,,,,,,
70052006,70052006-33f7-4d6f-ab25-e83506ca1ec8,,,,monroe003---,,,,,,,Monroe,,,,,,,,,,,,1928,1928,,,,,,,,,,,,,,
70055823,70055823-29ae-4dc3-a69a-0b42274f341e,,,,bryant001dav,,,,,,,Bryant,David,David,,,,2000,7,27,,,,,,,,2019,2022,,,,,,,,,,
70055825,70055825-0505-4d4e-9ef4-1403c03f0270,,,,hammoc004---,,,,,,,Hammock,,,,,,,,,,,,1925,1925,,,,,,,,,,,,,,
70055a12,70055a12-0d55-450e-89da-fb8cfead5b35,,,,fugget000isa,,,,,,,Fuggett,Isaac,Isaac,,,,,,,,,,,,,,,,,,,,,,,,,
7005687b,7005687b-921b-44cd-996e-07ef78c965fa,,,,massen000daw,,,,,,,Massengale,Dawson,Dawson,,,,,,,,,,,,,,2021,2022,,,,,,,,,,
70056e5d,70056e5d-4493-4ed4-9833-b96d40465abb,,,,ramire005eli,,,,,,,Ramirez,Elio,Elio Benis,,Silega,,,,,,,,2021,2021,,,,,,,,,,,,,,
70056ee9,70056ee9-e245-40ad-93bb-9c569ba9681b,682708,,,cotes-000dar,,,,,,,Cotes,Dariel,Dariel Bernardo,,Reyes,,2002,2,4,,,,2019,2019,,,,,,,,,,,,,,
7005ef35,7005ef35-2555-4137-87ef-734d7857d32d,,,,mitche002ric,,,,,,,Mitchell,Richard,Richard Larry,,,,1938,,,,,,1957,1961,,,,,,,,,,,,,,
70066ef6,70066ef6-c0b6-4a42-a443-c2e7c70da891,,,,,,,,,,,Hernandez-Thompson,Drew,Drew,,,,,,,,,,,,,,,,,,,,,,,,,
70069811,70069811-8620-4beb-85fd-752f789908ea,,,,,,,,,,,Sovereign,Alyssa,Alyssa,,,,,,,,,,,,,,,,,,,,,,,,,
7007458d,7007458d-48cb-4942-aeb2-b80b8550fb8a,,,,larson001cha,,,,,,,Larson,Charles,Charles,,,,1913,,,,,,1934,1937,,,,,,,,,,,,,,
700751de,700751de-b675-4d2a-aecf-30ab01673da4,,,,carden000mat,,,,,,,Carden,Mat,Mat,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
70075bce,70075bce-7501-4b2c-b1af-363a6d86ad52,,,,sarapa000mic,,,,,,,Sarapa,Michael,Michael,,,,,,,,,,,,,,2018,2019,,,,,,,,,,
7007629f,7007629f-0f85-4123-b247-b6fda3aad4a6,597892,,,urias-001rob,,,,,,,Urias,Roberto,Roberto,,,,1990,9,25,,,,2010,2010,,,,,,,,,,,,,,
7007b952,7007b952-60ae-484a-a365-81f44cd2d263,,,,seong-000jae,,,,,,,Seong,Jae Heon,Jae Heon,,,,1997,12,22,,,,2020,2020,,,,,,,,,,,,,,
70094381,70094381-2388-4794-b6f8-fea2e48887fc,,,,,,,,,,,Ehlers,Sophia,Sophia,,,,,,,,,,,,,,,,,,,,,,,,,
700960ca,700960ca-c451-415a-a808-27ba4e294c2f,624354,,,slack-000ryn,,,,,,,Slack,Ryne,Harrison Ryne,,,,1992,7,22,,,,2012,2018,,,,,,,,,,,,,,
70097872,70097872-ac78-484f-b5a2-a924fd63fee0,460688,,,craig-001aar,,,,,,,Craig,Aaron,Aaron Curtis,,,,1986,3,22,,,,2005,2008,,,,,,,,,,,,,,
7009b0e0,7009b0e0-8d8f-4881-a2f3-36690dd00a4b,701715,,,hudson005bra,,,,,,,Hudson,Brandon,Brandon Kyle,,,,2002,8,28,,,,,,,,2022,2022,,,,,,,,,,
7009d762,7009d762-c345-4c06-b7e9-b2d50b5fd7d2,,,,boyd--001bob,,,,,,,Boyd,Bobby,Bobby A.,,,,,,,,,,,,,,,,,,,,,,,,,
7009db47,7009db47-20d8-4f2c-a716-8ec01f6bf02b,,,,robert005tyl,,,,,,,Robertson,Tyler,Tyler,,,,,,,,,,,,,,2017,2018,,,,,,,,,,
700a3611,700a3611-06be-4ec9-bb59-2c6a8c3e8ef5,,,,azuma-001kaz,,,,,,,Azuma,Kazumasa,Kazumasa,,,,1982,6,1,,,,2001,2008,,,,,,,,,,,,,,
700a556f,700a556f-14fd-44f7-b63d-41f1777d09a0,,,,morris004che,,,,,,,Morrisey,Chet,Chester Edwin,Jr.,,,1926,2,24,2016,2,21,,,,,,,,,,,,,,,,
700a6b63,700a6b63-a1f1-4adc-92f0-2c7adc820082,,,,hallor001mic,,,,,,,Halloran,Mike,Michael,,,,1964,10,5,,,,1987,1987,,,,,,,,,,,,,,
700a6ba3,700a6ba3-c427-4e92-badd-3624294d168f,,,,funk--001jer,,,,,,,Funk,Jerry,Jerry Allan,,,,1939,3,1,,,,1961,1965,,,,,,,,,,,,,,
700a7dfd,700a7dfd-9bc3-456f-8366-cbceeb9de874,,,,dolbas000bra,,,,,,,Dolbashian,Braydon,Braydon,,,,,,,,,,,,,,2020,2022,,,,,,,,,,
700ab3d2,700ab3d2-22da-4c5e-96f6-dc4c10f93811,,,,flynn-013---,,,,,,,Flynn,,,,,,,,,,,,1912,1912,,,,,,,,,,,,,,
700ad6e4,700ad6e4-9e41-46cf-a2cd-02ad6b83149d,,,,nichol005---,,,,,,,Nichol,,,,,,,,,,,,1894,1894,,,,,,,,,,,,,,
700ada3e,700ada3e-1a49-41df-bd6d-fe212c99808c,115871,hetkj101,hetkijo01,hetki-001joh,1005752,,,,,,Hetki,Johnny,John Edward,,,,1922,5,12,2019,1,10,1941,1956,1945,1954,,,,,,,,,,,,
700aebc8,700aebc8-7117-4c35-b38e-80b2eed2511a,,,,blethe003how,,,,,,,Blethen,Howard,Howard T.,,,,,,,,,,1937,1937,,,,,,,,,,,,,,
700b359b,700b359b-9b0f-49e1-8072-b25dda2419bd,,,,reynol003mar,,,,,,,Reynolds,Mark,Mark David,,,,1962,1,8,,,,1983,1986,,,,,,,,,,,,,,
700b413d,700b413d-6340-4590-b357-579eb6705cdb,,,,,,,,,,,McKinnon,Michelle,Michelle,,,,,,,,,,,,,,,,,,,,,,,,,
700b6dac,700b6dac-53cf-4936-94c0-e4d9566484d8,,,,lenzi-001ric,,,,,,,Lenzi,Richard,Richard Joseph,,,,1927,,,,,,1945,1953,,,,,,,,,,,,,,
700b87c3,700b87c3-2b58-4932-900e-0404e8c8a180,,,,dehoog001all,,,,,,,DeHoog,Allen,Allen,,,,,,,,,,1930,1930,,,,,,,,,,,,,,
700be3a8,700be3a8-0e18-48bc-aa7b-d8a497959c16,119648,napib101,napiebu01,napier001ske,1009446,,,,,,Napier,Buddy,Skelton Leroy,,,,1889,12,18,1968,3,29,1911,1924,1912,1921,,,,,,,,,,,,
700c16dc,700c16dc-030a-4c11-afff-a62ccb34c85a,,,,waddel001---,,,,,,,Waddell,,,,,,,,,,,,1904,1904,,,,,,,,,,,,,,
700c9524,700c9524-bd75-40cc-87c6-d42ffb7a4042,,,,pauly-000gar,,,,,,,Pauly,Garrett,Garrett,,,,,,,,,,,,,,2012,2013,,,,,,,,,,
700cc681,700cc681-f9c5-470d-9923-1fef5d0228a5,453693,,,romero000mat,,,,,,,Romero,Matt,Matthew R.,,,,1979,11,5,,,,,,,,,,,,,,,,,,,
