key_person,source,value
026b79c6,tsncards,10550
026bc1cc,tsncards,75171
026c414d,tsncards,13520
02758ec1,tsncards,13701
02759a7c,tsncards,32
02767d78,tsncards,167052
027ca7f0,tsncards,10347
028510f0,tsncards,65996
0285218c,tsncards,88162
02861952,tsncards,14087
028838e9,findagrave,34351428
028838e9,tsncards,178508
02895916,findagrave,72092152
02895916,tsncards,65840
02895916,tsncards,69500
028f1df8,tsncards,12111
0290fbfe,tsncards,14510
029238c0,tsncards,167166
0296a810,findagrave,211396521
0296f856,tsncards,6806
02981f21,tsncards,16619
02996500,tsncards,82714
029c6751,tsncards,12002
029ce56c,tsncards,172631
02a170d5,findagrave,233375826
02a170d5,tsncards,108183
02a170d5,tsncards,109216
02a73692,tsncards,157963
02abac12,tsncards,85169
02b39387,findagrave,82858663
02b39387,tsncards,95630
02b50c6f,tsncards,10515
02b5c38b,findagrave,156683893
02b67aea,tsncards,35
02b949f2,tsncards,107667
02bfaeaa,findagrave,253204417
02bfaeaa,tsncards,48306
02c3046a,findagrave,280487339
02c3046a,tsncards,45358
02c31ab4,tsncards,180212
02c68d10,findagrave,84540925
02c68d10,tsncards,121098
02ca3baf,findagrave,136642010
02ca3baf,tsncards,162538
02cf500d,tsncards,137179
02d42ec0,tsncards,180861
02d68af5,tsncards,79709
02d763b6,tsncards,13184
02d8c996,tsncards,726
02e78e38,tsncards,117551
02e7b919,tsncards,45397
02e7bc6c,tsncards,13007
02e82eaa,findagrave,179522349
02e82eaa,tsncards,47432
02e97bed,tsncards,173724
02e98510,tsncards,81818
02eaf8d8,tsncards,57808
02eaff9a,tsncards,15560
02ec1c21,tsncards,130913
02ec475f,tsncards,156243
02ed089b,tsncards,79743
02f80668,tsncards,115694
02f88614,findagrave,49355600
02f88614,tsncards,81810
02f89e0c,findagrave,166299919
02fcb81b,findagrave,18673575
02fcb81b,tsncards,147499
03028be2,tsncards,126769
0304ff0c,tsncards,149238
03054ad7,tsncards,168
03055c0b,findagrave,69642142
03055c0b,tsncards,161526
03055c0b,tsncards,178956
03099da6,tsncards,110649
0309ab64,tsncards,154542
030c8615,tsncards,14059
030eba2d,tsncards,26025
030f05f1,findagrave,219689332
030f05f1,tsncards,58812
0317297c,tsncards,153762
0317d223,findagrave,174596546
0317d223,tsncards,14042
0317d223,tsncards,7015
031a9822,tsncards,47008
031f32a4,tsncards,151996
032108f1,tsncards,176185
0327aec6,tsncards,60860
0327b2ac,tsncards,125681
032e3d8b,tsncards,32586
03319fe7,tsncards,94097
0332a33c,tsncards,167714
03365ba4,tsncards,124511
03371d0e,tsncards,129240
0337a20f,tsncards,151484
033b4a2f,tsncards,50169
034444a7,tsncards,13341
0344a493,tsncards,69611
0355da0b,findagrave,205104997
0355da0b,tsncards,58999
03564c55,tsncards,12181
035ad3ce,findagrave,121756227
035ad3ce,tsncards,100080
035b1423,tsncards,103715
035da78f,tsncards,115583
035eea88,tsncards,12934
0360be0a,tsncards,73629
