key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
50000268,50000268-6bd4-437b-831c-bbc9f4a231d0,,,,hunt--001pfi,,,,,,,Hunt,Pfilip,Pfilip G.,,,,1937,,,,,,1958,1961,,,,,,,,,,,,,,
50000543,50000543-49f9-4129-b214-6da5b76bfd8f,,,,page--004---,,,,,,,Page,Dan,Dan,,,,,,,,,,1914,1914,,,,,,,,,,,,,,
50006929,50006929-0c4f-48fe-99f5-f4491f42533e,,,,worley000tre,,,,,,,Worley,Trenton,Trenton,,,,,,,,,,,,,,2019,2019,,,,,,,,,,
5000a3f1,5000a3f1-a237-41c7-9b7c-b40fb58b70a1,,,,nichol006ric,,,,,,,Nicholson,Dick,Richard Glenn,,,,1924,7,15,2013,6,11,1947,1948,,,,,,,,,,,,,,
5000af2f,5000af2f-a9f4-4e35-961e-bd4a7a7408f9,,,,robins007wil,,,,,,,Robinson,William,William Harold,,,,1939,,,,,,1962,1963,,,,,,,,,,,,,,
5000b0a1,5000b0a1-aafc-4df4-9380-1046fd4ba665,,,,day---001---,,,,,,,Day,,,,,,,,,,,,1892,1892,,,,,,,,,,,,,,
5000dfdc,5000dfdc-e56b-4dc6-854a-c0ae80d78cd4,,,,martin002gus,,,,,,,Martinez,Gustavo,Gustavo Isidro,,,,1970,8,30,,,,1995,1995,,,,,,,,,,,,,,
500101f2,500101f2-5094-4bd5-b2ca-79db85a6169a,,,,hangas000zac,,,,,,,Hangas,Zach,Zachary,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
5001649e,5001649e-044c-440d-86ae-7d2e138c03a9,,,,lilly-000car,,,,,,,Lilly,Carter,Carter,,,,1996,6,25,,,,,,,,2016,2017,,,,,,,,,,
500179f7,500179f7-8090-47e1-acd6-9cae932384a6,,,,misao-000tor,,,,,,,Misao,Toru,Toru,,,,1937,4,26,,,,1956,1959,,,,,,,,,,,,,,
5001ccd3,5001ccd3-e148-4a57-90f5-1019a8e578b5,,,,raines000col,,,,,,,Raines,Cole,Cole,,,,,,,,,,,,,,2018,2021,,,,,,,,,,
5001fd72,5001fd72-5b3b-4485-8e35-6a7e3accafca,,,,james-010wil,,,,,,,James,William,William M.,,,,,,,,,,1950,1954,,,,,,,,,,,,,,
50020337,50020337-a464-423e-a6ed-67dfebd30bb6,,,,chandl016---,,,,,,,Chandler,Bert,Bert,,,,,,,,,,1909,1909,,,,,,,,,,,,,,
500217f7,500217f7-d75f-4325-b601-703253df60aa,,,,beauch000m--,,,,,,,Beauchemin,M.,M.,,,,,,,,,,,,,,2013,2013,,,,,,,,,,
500220aa,500220aa-993b-40f8-9335-854df88188d8,,,,evans-002dan,,,,,,,Evans,Danny,Danny,,,,,,,,,,,,,,,,,,,,,,,,,
50028b11,50028b11-5ef6-4195-b64e-a28d81f59c4e,,,,aldret002ric,,,,,,,Aldrete,Richard,Richard,,,,,,,,,,,,,,,,,,,,,,1978,1980,,
5002930e,5002930e-6b52-4940-bbc7-707364e8e908,,,,paige-000rm-,,,,,,,Paige,R. M.,R. M.,,,,,,,,,,,,,,,,1912,1912,,,,,,,,
5002baf0,5002baf0-e8ec-4c70-8ace-33a4402a9c74,,,,keeter001car,,,,,,,Keeter,Carl,Carl O.,,,,,,,,,,1941,1942,,,,,,,,,,,,,,
5002cfc9,5002cfc9-5b29-42a3-90a0-1bc984b0690f,,,,potter005---,,,,,,,Potter,,,,,,,,,,,,1936,1936,,,,,,,,,,,,,,
5002dc1a,5002dc1a-13ee-4459-bfb1-5f72771ed49d,,,,lommen000nic,,,,,,,Lommen,Nick,Nick,,,,,,,,,,,,,,2022,2022,,,,,,,,,,
5002dfb1,5002dfb1-a3ba-4049-8d54-28d4f12b3b15,,,,burigo001sil,,,,,,,Burigo,Silvio,Silvio,,,,,,,,,,1950,1950,,,,,,,,,,,,,,
50030a74,50030a74-7597-4119-88a6-ae263454f129,442912,,,terni-001cha,,,,,,,Terni,Chaz,Charles Adam,,,,1978,10,1,,,,1997,2007,,,,,,,,,,,,,,
50031f4e,50031f4e-789f-4e64-a20a-6855593adfdc,,,,willia086---,,,,,,,Williams,,,,,,,,,,,,1912,1912,,,,,,,,,,,,,,
