key_person,name_last,name_first,name_given,birth_year,birth_month,birth_day,altname_type,altname_lang,altname_last,altname_first,altname_given,altname_matrilineal,altname_nick,altname_date_start,altname_date_end
07578e67,Clowson,Alex,Alex,1915,,,alt-spelling,en,Clawson,Alex,Alex,,,,
a1ca5af8,Bridges,Tony,Anthony Wayne,1968,8,24,alias,en,Clements,Tony,Anthony Wayne,,,1986,1989
024f7a89,Clementi,Zeke,John M.,1914,,,alt-spelling,en,Clements,Zeke,John M.,,,,
2f6a1bb8,Sosa,Carlos,Carlos M.,1981,10,21,alias,en,Cleto,Carlos,Carlos M.,,,,
358c9746,McLin,John,John B.,,,,alias,en,Cline,John,John M.,,,1915,1915
4f8f9c5e,Adams,Clyde,Milton Cecil Clyde,1880,8,18,alias,en,Clyde,Cy,Cyrus,,,,
4a2a06e9,Sanders,Stan,Stanley,1939,8,12,birth,en,Cocciolone,Stanley,Stanley,,,,
79f924ef,Cockrell,Phil,Philip,1895,6,29,alias,en,Cochran,Philip,Philip,,,,
d3e85e0f,Cagle,Lamar,Lamar,1924,1,20,alt-spelling,en,Cogle,Lamar,Lamar,,,,
cd599d25,Cole,Archie,Archie Sloane,1900,11,26,alias,en,Coley,Archie,Archie,,,,
efcda48a,Paniagua,Juan,Juan Carlos,1990,4,4,alias,en,Collado,Juan,Juan Carlos,,,2009,2010
e7793a75,Kollar,Harold,Harold J.,1923,,,alias,en,Collins,Harold,Harold,,,,
f2882afa,Colone,William,William Guerino,1917,8,17,alt-spelling,en,Collyn,William,William Guerino,,,,
1774b88c,Colvin,Charles,Charles,,,,alias,en,Colvin,Tod,Tod,,,,
318e4bc8,Comingor,Marshall,Marshall Depew,1881,12,19,birth,en,Comingore,Marshall,Marshall Depew,,,,
1e771eac,Comingor,Carl,Carl Edward,1887,6,4,birth,en,Comninger,Carl,Carl Edward,,,,
65c54929,Camelli,Hank,Henry Richard,1914,12,9,legal,en,Comolli,Henry,Henry Richard,,,,
09f8a6b1,Cortes,Argenis,Argenis Rafael,1966,10,28,alias,en,Conde,Argenis,Argenis R.,,,,
105b30a5,Connolly,Bud,Mervin Thomas,1901,5,25,alt-spelling,en,Connally,Mervin,Mervin Thomas,,,,
43e55d4d,Connatser,Bruce,Broadus Milburn,1902,9,19,alt-spelling,en,Connaster,Bruce,Bruce M.,,,,
5dbaaf05,Conroy,Ed,Edmund Charles,1919,9,9,alt-spelling,en,Conrow,Ed,Edmund Charles,,,,
c20a34b0,Winchell,Fred,Frederick Russell,1882,1,23,legal,en,Cook,Fred,Frederick Russell,,,,
500561a0,Koopman,Charlie,Charles,1885,,,alias,en,Cooper,Charles,Charles,,,1905,1906
26bf5ca6,Stackpole,Cy,Arthur H.,,,,alias,en,Cooper,Jack,Jack,,,1905,1905
3a33372b,Coppeta,Greg,Gregory Robert,1969,8,27,alt-spelling,en,Coppetta,Greg,Gregory Robert,,,,
53626d02,Huston,Harry,Harry Emanuel Kress,1883,10,14,alias,en,Corbin,Harry,Harry,,,1903,1906
21d5759d,Cordoba,Wilfrido,Wilfrido,1957,8,11,alt-spelling,en,Cordova,Wilfrido,Wilfrido,,,,
da1a688f,Colmenares,Carlos,Carlos A.,1970,11,17,alt-spelling,en,Cormenares,Carlos,Carlos,,,,
b8daf21f,Teuma,Reggie,Reinaldo,1930,,,alias,en,Corrales,Reinaldo,Reinaldo,,,,
370f6d14,Castellanos,Silvio,Silvio A.,1936,2,17,alias,en,Correa,Silvio,Silvio Alberto C.,,,,
0e650005,Carriveau,Frank,Frank,1874,7,,birth,en,Corriveau,Frank,Frank,,,,
09f8a6b1,Cortes,Argenis,Argenis Rafael,1966,10,28,alias,en,Cortez,Conte,Conte,,,,
c98ef1a5,Consentino,James,James N.,1924,,,alt-spelling,en,Cosentino,James,James N.,,,,
05aa8334,Cassiboine,Howdy,T. Howard,1873,4,28,birth,en,Cossiboin,Howard,T. Howard,,,,
4791b3c2,Cassiboine,William,William J.,1871,,,birth,en,Cossiboin,William,William J.,,,,
3e58d8f2,Potter,,,,,,alt-spelling,en,Cotter,,,,,,
fe348b13,Fisher,Laster,Laster,,,,alias,en,Counts,Roy,Roy,,,1928,1928
8041184b,Cramton,Elwyn,Elwyn L.,1912,5,27,alt-spelling,en,Crampton,Elwyn,Elwyn L.,,,,
2e7ffefd,Crisostomo-Bock,Jose,Jose,,,,alias,en,Crisostomo,Jose,Jose,,,,
d06ee6dd,Cristadora,Maurice,Maurice A.,1920,,,alt-spelling,en,Cristadoro,Maurice,Maurice A.,,,,
d29fa807,Ver Crouse,Jay,Jay Norris,1927,12,19,alt-spelling,en,Crouse,Jay,Jay Ver,,,,
e1a5edc1,Crow,Theodore,Theodore,,,,alt-spelling,en,Crowe,Theodore,Theodore,,,,
c9079065,Crumling,Gene,Eugene Leon,1922,4,5,legal,en,Crumbling,Gene,Eugene Leon,,,,
e7630fb0,Ramos,Gus,Gustavo,1929,,,alias,en,Cruz,Gustavo,Gustavo Ramos,,,,
fc9a1c8b,Garcia,Jose,Jose,1933,,,alias,en,Cruz,Jose,Jose Garcia,,,,
bf42a7ef,Reinhardt,Oswaldo,Oswaldo,1927,,,alias,en,Cruz,Oswaldo,Oswaldo Santa,,,,
9002c20c,Rivera,Rene,Rene,1949,,,alias,en,Cruz,Rene,Rene,,,,
a54f859b,Mercedes,Victor,Victor A.,1979,4,15,alias,en,Cuello,Domingo,Domingo,,,,
0f1ac6de,Cuello,Felix,Felix M.,1979,9,17,alias,en,Cuello,Manolin,Manolin,,,,
8f674a5e,Mesa,Pete,Richard Peter,1929,8,29,birth,en,Culton,Pete,Richard Peter,,,,
42e39018,Collins,Johnny,John,,,,alias,en,Cunningham,Arthur,Arthur,,,,
1ca9596a,Curtis,Harry,Harry S.,1928,,,alt-spelling,en,Curtiss,Harry,Harry,,,,
7a700ad7,Jackson,Bill,William Emerson,1911,4,11,birth,en,Cutlip,Alva,Alva Emerson,,,,
046f0550,Sabari,Manuel,Manuel A.,1938,,,alias,en,Cuvas,Manuel,Manuel A. S.,,,,
d89b857a,Chappie,Donald,Donald Edward,1926,,,birth,en,Czapiewski,Donald,Donald Edward,,,,
5374a7d0,D'Esposito,Dan,Daniel Angelo,1934,3,16,alt-spelling,en,D'Esposito,Daniel,Daniel A.,,,,
70cc581a,Dvorak,Ray,Ray F.,,,,alt-spelling,en,D'Vorak,Ray,Ray F.,,,,
7b47d1db,Diaz,Angel,Angel,1963,,,alias,en,Dager,Angel,Angel D.,,,,
dc091454,Dailey,George,George D.,,,,alt-spelling,en,Daily,George,George W.,,,,
8fdb648b,Della Valle,Al,Alfred John,1933,12,29,alt-spelling,en,DallaValle,Alfred,Alfred J.,,,,
3bf51408,Jesson-Dalton,Tanner,Brian Tanner,1996,8,25,alias,en,Dalton,Tanner,Brian Tanner,,,,
0c3d408f,Moeller,Danny,Daniel Edward,1885,3,23,alias,en,Daniels,,,,,1905,1905
bc9302b4,Hoff,,,,,,legal,en,Daniels,F. S.,F. S.,,,,
a9a02a59,Dougherty,Kevin,James Kevin,1978,3,4,alt-spelling,en,Daugherty,James,James E.,,,,
6a03ffa0,Davison,James,James W.,1926,,,alt-spelling,en,Davidson,James,James W.,,,,
4b3d85ef,Dewitt,,,,,,legal,en,Davis,Ben,Ben,,,,
4050580f,Howden,Huey,Huey,1941,3,10,alias,en,Davis,Huey,Huey,,,,
1836d3bd,Fermin,Miguel,Miguel Angel,1985,2,11,alias,en,de los Santos,Joel,Joel,,,,
15225985,De Los Santos,Braulio,Braulio,1987,9,19,alias,en,De Los Santos,Robinson,Robinson,,,2008,2011
5effd827,DeAngelus,Michael,Michael,1917,,,alt-spelling,en,Deangelis,Michael,Michael,,,,
07c783c9,DeBiase,Joseph,Joseph,,,,alt-spelling,en,DeBiase,Joseph,Joseph,,,,
ca229e04,DiBlasi,Sam,Samuel V.,1922,8,13,alt-spelling,en,DeBlasi,Samuel,Samuel V.,,,,
cad90ddb,Dubrava,William,William J.,1931,9,28,alt-spelling,en,DeBrava,William,William,,,,
b0b2c917,DeBusschere,Dave,David Albert,1940,10,16,alt-spelling,en,DeBusschre,David,David Albert,,,,
20a3d6fc,DiCiglio,Vito,Vito N.,1930,,,alt-spelling,en,DeCeglio,Vito,Vito N.,,,,
941830fe,Dedeaux,Russ,Russell Louis,1913,12,7,birth,en,Dedeaux,Louis,Louis Roussell,,,,
6b0ce805,Villarreal,Juan,Juan de Dios,1937,3,8,alias,en,DeDios,Juan,Juan V.,,,,
e0493999,Dedmon,Hal,Thomas Hal,1922,1,16,alt-spelling,en,Dedmond,Thomas,Thomas H.,,,,
6cd5f1d8,Digiovanni,Rosario,Rosario R.,1926,2,25,alt-spelling,en,DeGiovanni,Rosario,Rosario R.,,,,
59d997ec,DiGregorio,Alfred,Alfred,,,,alias,en,DeGreg,Alfred,Alfred,,,,
c0617d5c,DiGregorio,Frank,Frank William,1923,12,24,alt-spelling,en,DeGregorio,Frank,Frank,,,,
cdd9d5c2,Smykal,Frank,Frank John,1889,10,13,alias,en,DeHaven,Frank,Frank John,,,1910,1911
964e87b9,Encarnacion,Anito,Anito,1972,8,26,alias,en,DeJesus,Anito,Anito,,,,
e4d44b9e,Sabino,Manuel,Manuel,1955,8,13,alias,en,DeJesus,Manuel,Manuel,,,,
62c0b46c,Marrero,Andres,Andres,1934,11,30,alias,en,Del Campo,Andres,Andres Antonio,,,,
63374df9,Rosario,Francisco,Francisco Alberto,1980,9,28,alias,en,Del Rosario,Francisco,Francisco Alberto,Divison,,,
52904c9e,Febles,Narcisco,Narcisco,1973,7,15,alias,en,DeLaCruz,Feleles,Narciso Feleles,,,,
011a3966,Martinez,Freddy,Freddy,1979,4,3,alias,en,DeLaCruz,Jose,Jose David,,,,
0ac983f0,Gutierrez,Andres,Andres,,,,alias,en,DeLaFuente,Andres,Andres Gutierrez,,,,
1ac66cb0,Garcia,Jose,Jose Andres,1982,9,23,alias,en,DeLaRosa,Isias,Isias,,,,
2b8e9c36,Del Isola,Salvatore,Salvatore,1929,,,alt-spelling,en,DellaIsola,Salvatore,Salvatore,,,,
6df3f9f8,Guzman,Freddy,Freddy Antonio,1981,1,20,alias,en,DeLosSantos,Pedro,Pedro,,,,
b0339295,DeMoisey,John,John R.,1913,,,alt-spelling,en,DeMaisey,John,John R.,,,,
69d9673c,DeMinico,Charles,Charles A.,1924,,,alt-spelling,en,DeMinoco,Charles,Charles A.,,,,
698bc549,De Meo,Henry,Henry Charles,1895,1,23,alias,en,Demoe,Henry,Henry Charles,,,,
e3159c49,Demster,Wayne,Wayne,1916,,,alt-spelling,en,Dempster,Wayne,Wayne,,,,
fdfdf60e,DiMuzio,Carmen,Carmen Floyd,1926,3,31,alt-spelling,en,Demuzio,Carmen,Carmen Floyd,,,,
bd64f82d,DiNicola,John,John,1926,,,alt-spelling,en,DeNicola,John,John,,,,
426b6442,Dennison,George,George,1882,7,3,alias,en,Denny,George,George,,,,
0eaa7967,Desrosiers,Norbert,Norbert,1914,,,alt-spelling,en,Derosier,Norbert,Norbert,,,,
23057d53,DeSouza,Carlos,Carlos Norberto,1924,6,6,alt-spelling,en,DeSanza,Carlos,Carlos,,,,
41d8a8f4,Soto,Joseph,Joseph Jesus,1933,6,12,alt-spelling,en,DeSoto,Joseph,Joseph J.,,,,
92013c43,Duell,David,David M.,,,,legal,en,Deuel,David,David M.,,,,
aa90465b,Devarez,Cesar,Cesar Salvatore,1969,9,22,alt-spelling,en,Devares,Cesar,Cesar S.,,,,
83d64132,Dzuris,Dee,Andrew J.,1917,7,1,alt-spelling,en,Dezuris,Dee,Dee,,,,
e9e41ac6,Dimond,Ben,Ben,1888,11,20,alt-spelling,en,Diamond,Ben,Ben,,,,
43a02eca,Diaz,Israel,Israel,1939,,,alias,en,Diaz,Israel,Israel,,,,
bf76001c,Rivera,Javier,Javier,1929,,,alias,en,Diaz,Javier,Javier,,,,
86eceab7,Hernandez,Habelito,Habelito,1981,1,11,alias,en,Diaz,Juan,Juan Gabriel,,,,
2d9e4a90,Salvatierra,Manny,Manuel,1917,3,2,alias,en,Diaz,Manuel,Manuel S.,,,,
e78dd3be,Salgado,Ramon,Ramon,1929,,,alias,en,Diaz,Ramon,Ramon S.,,,,
275c6378,Andrade,Salvador,Salvador,1937,3,14,alias,en,Diaz,Salvador,Salvador Andrade,,,,
55b3bf63,Arteaga,Virgilio,Virgilio,1921,,,alias,en,Diaz,Virgilio,Virgilio A.,,,,
d58d68db,Diaz,Randal,Randal,2003,5,20,alias,en,Diaz-Morales,Randal,Randal,,,,
6455a0d2,DeBiasi,Vincent,Vincent,1920,9,24,alt-spelling,en,DiBiasi,Vincent,Vincent,,,,
fa4eb32f,DeCecco,Charles,Charles J.,1916,,,alt-spelling,en,DiCecco,Charles,Charles J.,,,,
74aea67a,DeCecco,Joe,Joseph,1924,6,30,alt-spelling,en,DiCecco,Joseph,Joseph,,,,
3e36b1a2,Dix,Don,Robert Donald,1925,3,27,birth,en,Dick,Don,Robert Donald,,,,
af8e1b8d,Dick,Ralph,Ralph D.,1948,3,22,legal,en,Dick,Ralph,Ralph D.,,,,
ec5d5106,Deitz,Emmett,Emmett Edwin,1931,2,2,alt-spelling,en,Dietz,Emmett,Emmett Edwin,,,,
fe554869,DeFiore,Sylvio,Sylvio,1926,,,alt-spelling,en,DiFiore,Sylvio,Sylvio,,,,
77668b3d,DiLeonardo-Benavides,Vince,Vincent Alexander,2002,9,12,alias,en,DiLeonardo,Vince,Vincent Alexander,,,,
69d9673c,DeMinico,Charles,Charles A.,1924,,,alt-spelling,en,DimInico,Charles,Charles A.,,,,
bdd0a4b1,DeStefano,Vincent,Vincent,,,,alt-spelling,en,DiStefano,Vincent,Vincent,,,,
669afcbe,Pearce,Walter,Walter Irvin,1896,10,23,alias,en,Diver,Walter,Walter,,,1919,1919
92664ea4,Dixon,Fred,Frederick Joseph,1871,7,12,birth,en,Dixson,Fred,Frederick Joseph,,,,
0253f60a,Dobrovolny,Edward,Edward A.,1924,,,alias,en,Dobbs,Edward,Edward A.,,,,
472c6895,Dobby,John,John A.,1916,,,birth,en,Dobromilski,John,John A.,,,,
352be748,Dolci,Lou,Louis William,1929,12,29,birth,en,Dolcimascola,Louis,Louis William,,,,
14545baf,Doljack,John,John Ferd,1907,2,1,alt-spelling,en,Doljak,John,John F.,,,,
b185af9b,Garcia,Mario,Mario,,,,alias,en,Domingo,Mario,Mario G.,,,,
434edf62,Santo Domingo,Rafael,Rafael,1955,11,24,alias,en,Domingo,Rafael,Rafael S.,,,,
89809474,Lopez,Jorge,Jorge Luis,1928,,,alias,en,Dominguez,Jorge,Jorge L.,,,,
7fb375ac,Dominguez,Juan,Juan Ramon,1980,5,18,alias,en,Dominguez,Jose,Jose A.,,,,
fcc624da,Castillo,William,William A.,1952,,,alias,en,Donaire,William,William,,,,
ed3dc639,Smithson,Bert,Herbert Joseph,1881,3,18,alias,en,Donovan,Bert,Herbert,,,,
b2f31749,Doolin,Mickey,Michael Joseph,1880,5,7,alt-spelling,en,Doolin,Michael,Michael,,,,
d2709d65,Blackard,Paul,Paul H.,1902,,,alias,en,Doss,Paul,Paul,,,,
79c616fd,Cicero,Joe,Joseph John,1910,11,18,alias,en,Doughty,Joe,Joseph,,,1927,1927
a3eaae48,Glenalvin,Bob,Robert Joseph,1867,1,17,legal,en,Dowling,Edward,Edward W.,,,,
29a074ff,Drottar,Albert,Albert J.,1912,12,11,alt-spelling,en,Drattar,Albert,Albert J.,,,,
f9d1cc92,Rowan,Dave,David,1881,12,6,birth,en,Drohan,Dave,David,,,,
9be829e4,Dunne,Raymond,Raymond G.,1926,,,alt-spelling,en,Duane,Raymond,Raymond,,,,
d40eced1,Duberstein,Edward,Edward,1911,,,alias,en,Duber,Edward,Edward,,,,
21886fb8,Dubic,Chet,Chester W.,1918,,,birth,en,Dubicki,Chet,Chester W.,,,,
be662f7d,Lee,Dud,Ernest Holford,1899,8,22,alias,en,Dudley,Dud,Dud,,,1920,1921
1ee85e7c,Maddox,Nick,Nicholas,1886,11,9,legal,en,Duffy,Nick,Nicholas,,,,
958be4f6,Dumovich,Nick,Nicholas,1902,1,2,legal,en,Dujmovich,Nick,Nicholas,,,,
123876d2,Dubiscz,Stanley,Stanley J.,,,,alt-spelling,en,Dunisz,Stanley,Stanley J.,,,,
602ad5bd,Craves,Fred,Alfred Peter,1866,2,5,birth,en,Dupont,Fred,Alfred Peter,,,,
44198d09,Juran,Eli,Edward,1902,11,5,alias,en,Durant,Eddie,Edward,,,,
97de2305,Shroyer,Albert,Albert C.,,,,alias,en,Durrette,Albert,Albert,,,,
ee3bb9d9,Therrien,Jesen,Jesen,1993,3,18,alias,en,Dygestile-Therrien,Jesen,Jesen,,,,
eafc2196,Dayne,Mike,Michael Paul,1925,1,25,birth,en,Dzingielowski,Mike,Michael Paul,,,,
72279241,Early,Jack,John J.,,,,alt-spelling,en,Earley,Jack,Jack,,,,
84d57887,Faye,Ed,Edward,1891,1,9,legal,en,East,Ed,Edward Faye,,,,
27445a0c,Edleman,Britton,James Britton,1917,11,3,alt-spelling,en,Edelman,Britton,Britton,,,,
dab44c7c,Edmondson,Bob,Robert E.,1879,4,30,alt-spelling,en,Edmundson,Bob,Robert E.,,,,
4929d3bf,McCleary,Bull,Edward Henry,1885,4,29,alias,en,Edwards,,,,,1907,1907
aa404011,Ike,Albert,Albert,1866,5,,birth,en,Eich,Albert,Albert,,,,
bf844d2a,Eisel,Roy,Roy,,,,alias,en,Eiselstein,Roy,Roy C.,,,,1912
a3e1aa77,Weber,Ed,Ed,1890,6,7,legal,en,Elkins,Christopher,Christopher Thomas Ewing,,,,
93a4113f,Eliff,Harry,Henry,1867,,,birth,en,Elliff,Harry,Henry,,,,
48e52ad2,Hill,Hugh,Hugh Ellis,1879,7,21,alias,en,Ellis,Hugh,Hugh,,,1914,1914
37c37a33,Embry,Slim,Charles Akin,1901,8,17,alt-spelling,en,Embrey,Slim,Charles Akin,,,,
f0e3feff,Emery,Joseph,Joseph Bernard,1934,,,alias,en,Emery,Ted,Theodore,,,,
58dbdb20,Enslow,Clyde,Bertus Clyde,1879,10,28,birth,en,Endslow,Clyde,Bertus Clyde,,,,
0cfa6cd3,Englehorn,Dale,Dale,1916,,,alt-spelling,en,Engelhorn,Dale,Dale,,,,
9b514c99,Holmes,William,William Xavier,2000,12,22,alias,en,English,William,William Xavier,,,,
58f87a31,Ereu,William,William,1959,3,10,alias,en,Ersel,William,William,,,,
93fcc4ef,Esper,Duke,Charles H.,1867,7,28,alias,en,Esbacher,Charles,Charles,,,,
3ee2590e,Martinez,Piter,Piter D.,1978,4,5,alias,en,Escalante,Peter,Peter,,,,
165e9eb5,Espaillat-Garcia,Josue,Josue,2000,10,28,alias,en,Espaillat,Josue,Josue,,,,
33ca2707,Espie,David,David A.,1901,9,11,alt-spelling,en,Espey,,,,,,
b95058fe,Garcia,Geivy,Geivy Antonio,1982,7,8,alias,en,Espinal,Jhovany,Jhovany,,,,
489e377a,Sandoval,Juan,Juan Francisco,1981,1,12,alias,en,Espinal,Luis,Luis Manuel,Diaz,,,
29d278de,Acevedo,Julio,Julio,1961,,,alias,en,Espinosa,Julio,Julio,,,,
2088637d,Lavisie,Yubeny,Yubeny Perez,1987,8,14,alias,en,Espinoza,Rafael,Rafael,,,,
c225071e,Almarante,Jose,Jose Manual,1988,10,19,alias,en,Estalis,Edouard,Edouard,,,2008,2010
c1ca4696,Solano,Claudio,Claudio E.,1926,2,14,alias,en,Estrella,Claudio,Claudio Solano,,,,
354f279f,Evans,Joseph,Joseph,,,,birth,en,Evanichko,Joseph,Joseph,,,,
6c11075b,Evanichko,Joseph,Joseph,1929,3,10,alias,en,Evans,Joseph,Joseph,,,,
83d52aa2,Evans,Nat,Nathaniel Isaac,1876,4,11,birth,en,Evensky,Nat,Nathaniel Isaac,,,,
3405bbd3,Favela,Jaime,Jaime,1939,2,25,alt-spelling,en,Fabela,Jaime,Jaime,,,,
587f72f1,Fabela,Rafael,Rafael,1931,11,10,alt-spelling,en,Fabela,Rafael,Rafael,,,,
80a9573e,Montana,Ricky,Ricky Phillip,1961,8,10,birth,en,Fagnani,Ricky,Ricky P.,,,,
4b1ac5e5,Faling,Donald,Donald C.,1928,,,alt-spelling,en,Failing,Donald,Donald C.,,,,
39c51757,Falk,Pete,Peter Joseph,1912,2,16,legal,en,Falkowski,Pete,Peter Joseph,,,,
c1cc32c7,Keane,William,William Edward,1881,6,23,alias,en,Fallon,William,William E.,,,1903,1903
6c356c1b,Vaught,Clarence,Clarence E.,1881,5,31,alias,en,Faught,,,,,,
bcd0f031,Samuel,Dauwill,Dauwill Jose,1980,10,29,alias,en,Febles,Hector,Hector M.,,,,
99a92f41,Fields,Homer,Homer Guy,1881,12,31,legal,en,Feild,Homer,Homer Guy,,,,
7a47fc0c,Felix,Juan,Miguel Juan,1975,12,30,alias,en,Felix,Antonio,Antonio C.,,,,
2c571344,Espinal,Jose,Jose Ramon,1976,8,31,alias,en,Feliz,Jose,Jose R.,,,,
9d454fd6,Ryan,Red,Merven John,1897,7,11,birth,en,Ferguson,Mervin,Mervin,,,,
22d5a84d,Thompson,Frank,Frank,1852,2,,legal,en,Fernandez,Augustus,Augustus,,,,
717aad9f,Fido,Joseph,Joseph,,,,alias,en,Fidullo,Joseph,Joseph,,,,
292fbadb,Fisk,Maximilian,Maximilian Patrick,1888,,,legal,en,Fifelski,Maximilian,Maximilian Patrick,,,,
44a69cf3,Correa,Antero,Antero,1978,1,3,alias,en,Figueroa,Eduardo,Eduardo,,,,
97a75ed4,Filice,Pete,Peter,1922,3,14,alt-spelling,en,Filice,Peter,Peter,,,,
080195f0,Filippi,Jim,James W.,1963,9,23,alt-spelling,en,Fillippi,James,James W.,,,,
9396a5f7,Finley,Doug,Owen Douglas,1928,9,25,alt-spelling,en,Finaley,Douglas,Douglas,,,,
0d98b547,Escalona,Javier,Javier,1925,,,alias,en,Flores,Javier,Javier,,,,
2864a527,De Leon,Juan,Juan C.,1980,6,24,alias,en,Flores,Manuel,Manuel E.,,,,
0e9b8331,Hannibal,Leo,Leo,1911,2,27,legal,en,Floyd,Leo,Leo Robert,,,,
95f2ca4d,Forrester,Jack,John Walker,1882,9,2,birth,en,Forester,Jack,John Walker,,,,
2b01cd71,Farless,Samuel,Samuel Irvin,1930,,,alt-spelling,en,Forless,Samuel,Samuel Irvin,,,,
d64bd55a,Forest,Percy,Percy,1916,11,8,alt-spelling,en,Forrest,Percy,Percy,,,,
ea38809c,Benson,Gene,Eugene Henry Fowlkes,1913,10,2,birth,en,Fowlkes,Gene,Eugene Henry,,,,
0e96c23e,Forwood,Walter,Walter H.,1921,,,alt-spelling,en,Foxwood,Walter,Walter H.,,,,
4cf13396,Gonzalez,Jose,Jose Luis,1977,11,17,alias,en,Franco,Jose,Jose,,,,
b2f99b7e,Jones,Sam,Samuel,1925,12,14,legal,en,Franklin,Daniel,Daniel Pore,,,,
c33a3d55,Frasinetti,James,James William,1932,,,alt-spelling,en,Fransinetti,James,James William,,,,
95a3e972,Freiberger,Arthur,Arthur Lewis,1928,8,6,alias,en,Frei,Arthur,Arthur Lewis,,,,
dc031e31,Frias,Adolfo,Adolfo Soto,1965,11,2,alias,en,Frias-Soto,Adolfo,Adolfo,,,,
803f307a,Freund,Frank,Lawrence Joseph,1875,7,5,alias,en,Friend,Lawrence,Lawrence J.,,,,
b9ff890b,McLean,Robert,Robert J.,1923,8,5,alias,en,Frith,Robert,Robert,,,,
7215aed2,Fox,Clarence,Clarence C.,1875,2,11,birth,en,Fuchs,Clarence,Clarence C.,,,,
bf1eb96b,Few,William,William E.,,,,alt-spelling,en,Fue,William,William E.,,,,
2aaf41b1,Vogel,A.,A.,,,,alt-spelling,en,Fugel,C.,C.,,,1906,1906
cc5a196e,Fullenwider,Phifer,Phifer,1886,12,13,alt-spelling,en,Fullenweider,Phifer,Phifer,,,,
8ab89f80,Fulenwider,Emmitt,Emmitt R.,1915,2,22,alt-spelling,en,Fullenwider,Emmett,Emmett,,,,
d5605eeb,Dalomba,Selah,Selah,,,,alias,en,Gabrielli-Delomba,Selah,Selah,,,,
30770344,Oliva,Jose,Jose,1971,3,3,alias,en,Galvez,Jose,Jose,,,,
df340345,Mento,Al,Alfredo,1978,2,21,alias,en,Garcia,Alfredo,Alfredo,,,,
bd206061,Martinez,Domingo,Domingo,1980,8,28,alias,en,Garcia,Angleidy,Angleidy,,,,
2c0c459e,Garcia-Luna,Frank,Francisco Javier,1973,4,6,alias,en,Garcia,Francisco,Francisco,,,,
b7dff9c2,Galindo,Guillermo,Guillermo,1933,,,alias,en,Garcia,Guillermo,Guillermo,,,,
43077723,Casilla,Santiago,Santiago,1980,7,25,alias,en,Garcia,Jairo,Jairo,,,,
517a439c,Barrero,Jose,Jose Israel,1998,4,5,birth,en,García,José,José Israel,Barrero,,,
49dbe90b,Abreu,Angel,Angel L.,1980,2,27,alias,en,Garcia,Rafaelito,Rafaelito,,,,
17938fea,Soriano,Victor,Victor,1958,4,1,alias,en,Garcia,Victor,Victor,,,,
a1e1f370,Stark,Henry,Henry S.,,,,alias,en,Garvin,Dick,Dick,,,1905,1905
f9acf37c,Sanchez,Eliseo,Eliseo,1937,6,14,alias,en,Garza,Eliseo,Eliseo,,,,
11db1da4,Garza,Raymundo,Raymundo,1928,3,29,alias,en,Garza,Ray,Ray,,,,
81485cf4,Garza,Regino,Regino,1926,,,alias,en,Garza Gomez,Regino,Regino,,,,
0a4fffe8,Gaston,Ryan,Ryan Dale,1977,5,24,legal,en,Gaston Hyde,Ryan,Ryan Dale,,,,
9fcd0607,Smith,Dick,Richard T.,1873,11,5,legal,en,Gavin,Tom,Thomas S.,,,,
df4e7708,Nwogu,Jordan,Jordan Chijioke,1999,3,10,legal,en,George-Nwogu,Jordan,Jordan Chijoke,,,,
42028c68,Martin,Cesar,Cesar A.,1979,6,21,alias,en,German,Cesar,Cesar A.,Martin,,,
a51723b0,Valdez,Edward,Edward Enrique,1980,2,8,alias,en,German,Rafael,Rafael A.,,,,
bb65146f,Greer,Ed,Edward,1863,7,29,legal,en,Gewehr,Adam,Adam Edward,,,,
9e6bde5a,Gomez,Luis,Luis Alfredo,1987,12,15,alias,en,Gil,Daniel,Daniel,,,2007,2009
b9db632b,Rodriguez,Orbandy,Orbandy,1988,9,29,alias,en,Gil,Manuel,Manuel,,,2008,2009
29e452a6,Rochefort,Ben,Bennett Harold,1896,8,15,alias,en,Gilbert,Ben,Bennett H. R.,,,,
f84c202e,Ghiladri,Edward,Edward,,,,alt-spelling,en,Gilhardi,Edward,Edward,,,,
e60d9bec,Dowling,Dave,David Barclay,1942,8,23,legal,en,Gill,Dave,David Barclay,,,,
11bb6905,Gaines,Samuel,Samuel,1923,7,22,birth,en,Ginzburg,Samuel,Samuel,,,,
f8b57138,Glassburner,William,William George,1875,10,23,birth,en,Glassbrenner,William,William George,,,,
cc698f93,Glenn,Ed,Edward C.,1860,6,15,legal,en,Glinn,Ed,Edward C.,,,,
f6163aa7,Glick,Lawrence,Lawrence M.,1903,8,21,legal,en,Glueck,Lawrence,Lawrence M.,,,,
5d1d1ec6,Gmutza,Stephen,Stephen W.,1928,1,23,alt-spelling,en,Gmatza,Stephen,Stephen W.,,,,
162e0bb6,Godlew,George,George S.,1918,,,legal,en,Godlewski,George,George S.,,,,
a2e78c66,Gockel,Gus,August Otto,1898,10,22,alt-spelling,en,Goeckel,Gus,August,,,,
cd304dc8,Goldasich,Paul,Paul J.,1912,4,10,alias,en,Golden,Paul,Paul J,,,,
baa689dd,Nelson,Barry,Barry D.,1968,8,24,alias,en,Goldman,Barry,Barry D.,,,1993,1995
80d74d63,Janicek,Lou,Louis H.,1918,4,22,alias,en,Goldman,Louis,Louis H.,,,,
