key_person,name_last,name_first,name_given,birth_year,birth_month,birth_day,altname_type,altname_lang,altname_last,altname_first,altname_given,altname_matrilineal,altname_nick,altname_date_start,altname_date_end
eb1c5bb4,Arruebarrena,Erisbel,Bárbaro Erisbel,1990,3,25,alt-spelling,en,Arruebarruena,Erisbel,Barbaro Erisbel,Escalante,,,
a70cacbf,Isaacs,Reuben,Reuben Emanuel,1887,4,18,alias,en,Atkins,George,George,,,,
b3fec561,Aase,Gil,Gilmar Arnold,1909,3,2,alias,en,Ausie,Gil,Gilmar Arnold,,,,
4826df2a,Austin,Vic,Victor,1919,7,26,birth,en,Awsiukiewicz,Victor,Victor,,,,
8c9cc60c,Ayala,Maury,Maurice Pierre,1918,8,4,birth,en,Ayala,Mauricio,Mauricio,,,,
8353bd4f,Daniels,Bert,Bernard Elmer,1882,10,31,alias,en,Ayers,Bert,Bert,,,1909,1909
8e40a3ea,Ayres,Robert,Robert Warren,1934,10,12,alt-spelling,en,Ayers,Robert,Robert Warren,,,,
3f55dfff,Ayres,Sam,Samuel H.,1889,,,alt-spelling,en,Ayers,Sam,Samuel H.,,,,
beab05b8,Bache,Jose,Jose Dario,1923,5,25,alt-spelling,en,Bachle,Jose,Jose Dario,,,,
f99824ca,Williams,Francis,Francis W.,,,,legal,en,Bacon,Francis,Francis W.,,,,
8ca945e1,Baerwald,Charles,Charles August,1879,1,8,birth,en,Baerwald,Charles,Charles August Julius,,,,
1494a8e6,Ortiz,Jose,Jose Baez,1977,12,12,alias,en,Baez,Jose,Jose,Portes,,,
3a2e294f,Brinsky,Amil,Amil H.,1918,9,9,birth,en,Bahurinsky,Amil,Amil H.,,,,
9748b3f9,Baillies,Frank,Frank King,1882,8,9,alt-spelling,en,Bailles,Frank,Frank King,,,,
fcf2a3e5,McComas,William,William M.,1889,,,alias,en,Baker,William,William M.,,,,
b3a8cf90,Baldy,Fred,Fred,1905,1,16,legal,en,Baldowsky,Fred,Fred,,,,
4717f345,Bail,Robert,Robert Thomas,1887,5,20,alias,en,Ball,Robert,Robert Thomas,,,,
839cc274,Ballord,Charles,Charles E.,1923,,,alt-spelling,en,Ballord,Charles,Charles E.,,,,
99dd66db,Barbee,Bud,John Quincy Adams,1914,3,16,alias,en,Barbee,Quincy,Quincy Bradsher,,,,
8796b701,Bartz,Ted,Theodore,1925,12,1,alias,en,Barczuk,Ted,Theodore,,,,
82ef4b32,Casey,Pearl,Pearl,1877,1,9,alias,en,Barnes,Pearl,Pearl,,,,
1ebf1650,Baron,Charley,Charles Emil,1912,11,25,legal,en,Baronovic,Charles,Charles Emil,,,,
8353bd4f,Daniels,Bert,Bernard Elmer,1882,10,31,alias,en,Barrett,Bert,Bert,,,1907,1907
809dd072,Haneles,Lou,Louis Aaron,1916,9,15,alias,en,Barron,Lou,Louis Aaron,,,,
2f73c12b,Barski,John,John,,,,birth,en,Barszewski,John,John,,,,
3d5eb5d1,Bartenschlager,Perry,Perry,,,,alt-spelling,en,Bartensclager,Perry,Perry,,,,
76b52fc0,Bartlett,Hop,Homer,1900,2,28,legal,en,Bartley,Homer,Homer Robert,,,,
ab84dc24,Bartosh,T. J.,Thomas,1978,5,24,alt-spelling,en,Bartosch,T. J.,T. J.,,,,
016d9ef0,Barry,Joe,Joseph Walter Paul,1928,4,28,birth,en,Barysauskas,Joseph,Joseph Walter Paul,,,,
1a2d65d9,Bossard,Jack,Belasco Jackson,1930,4,21,alt-spelling,en,Bassard,Jack,Belasco Jackson,,,,
8c34b846,Guzman,Jose,Jose Rafael,1983,10,19,alias,en,Batista,Juan,Juan Encarnacion,Abreu,,,
2ded466a,Bauer,Charles,Charles W.,1916,,,alt-spelling,en,Bauers,Charles,Charles W.,,,,
d9ec3b96,Vargas,Martin,Martin,1977,2,22,alias,en,Bautista,Martin,Martin V.,,,,
eed461d1,Moreno,Victor,Victor,1982,12,22,alias,en,Bautista,Victor,Victor,Carela,,,
695e5b02,Cottingham-Beard,Sam,Sam,1995,11,27,alias,en,Beard,Sam,Sam,,,,
3f7fd1dc,Desrosiers,Victor,Victor O.,1921,,,alias,en,Beauchesne,Vic,Vic,,,1948,1949
61cd63e1,Becerra-Lopez,Anthony,Anthony,1998,1,7,alias,en,Becerra,Anthony,Anthony,,,,
425212d9,Beidler,Joe,Joseph B.,1918,11,15,alt-spelling,en,Beedler,Joseph,Joseph,,,,
e843973a,Belisario,Ronald,Ronald J.,1982,12,31,alt-spelling,en,Belizario,Ronald,Ronald Jose,,,,
f3d6af81,Baerwald,Rudy,Rudolph Fred,1881,1,1,alias,en,Bell,Rudy,Jack,,,1907,1907
502e6a9b,Bello,Jim,James A.,1929,4,3,legal,en,Belotti,Jim,James A.,,,,
fa69c853,Francisco,Juan,Juan Ariel,1990,7,24,alias,en,Beltre,Franyer,Franyer Ariel,,,2010,2010
db6d9270,Bencina,Edward,Edward J.,1917,8,26,alt-spelling,en,Bencin,Edward,Edward J.,,,,
7b952ab4,Benn,Don,Donald M.,1901,7,19,birth,en,Benintendi,Don,Donald M.,,,,
a3cce515,Williams,Dave,David Owen,1879,7,,alias,en,Bennett,Davy,Davy,,,1904,1905
48e5205d,Bennett-Lowe,Jo-El,Jo-El D.,1992,9,9,alias,en,Bennett,Jo-El,Jo-El D.,,,,
6f64ee44,Puckett,Devin,Devin,1999,5,27,alias,en,Bennett-Puckett,Devin,Devin,,,,
591d493e,Beras,Wander,Wander Federico,1988,7,18,alias,en,Beras,Leonel,Leonel Esteban,,,2008,2010
7a3d0adb,Bergan,Pat,Patrick,1880,1,,alt-spelling,en,Bergen,Pat,Patrick,,,,
e5d3ee0c,Beringhele,Guy,Guy A.,1917,6,14,alt-spelling,en,Beringheli,Guy,Guy A.,,,,
3c4a6c6a,Berkowitz,Joe,Joseph,1909,10,10,alias,en,Berkowitz,Joe,Joseph,,,,
f3b0cd2c,Richar,Danny,Danny Adam,1983,6,9,alias,en,Berroa,Joandry,Joandry,,,,
83bc851b,Jensen,Justin,Justin Randall,1973,12,19,alias,en,Bettencourt,Justin,Justin R.,,,,
559605f6,Betcher,Frank,Franklin Lyle,1888,2,15,birth,en,Bettger,Frank,Franklin Lyle,,,,
99a37eac,Bialkowski,Stanley,Stanley,1929,2,10,alias,en,Bialecki,Stanley,Stanley,,,,
af8baee2,Berkel,John,John H.,1885,,,alias,en,Bierkotte,John,John H.,,,,
a76a8470,Binks,George,George Alvin,1914,7,11,birth,en,Binkowski,George,George Eugene,,,,
69081314,Murff,Joseph,Joseph E.,1913,10,9,legal,en,Bistrauf,Joseph,Joseph E.,,,,
8669ad27,Sapp,Charley,Charles E.,1884,7,,alias,en,Blake,Otto,Otto,,,1910,1910
14822fe8,Blake,John,John Francis,,,,alias,en,Blakely,John,John Francis,,,1913,1913
0ef0ba7c,Blazak,Felix,Felix Francis,,,,alt-spelling,en,Blaszak,Felix,Felix Francis,,,,
31075d4f,Blaze,Frank,Frank J.,1926,,,legal,en,Blazejewski,Frank,Frank J.,,,,
10dabf5f,Blydell,Walter,Walter F.,1918,12,8,alias,en,Bleidistel,Walter,Walter F.,,,,
3726e3af,Blen-Ferray,Damian,Damian,1974,1,4,alias,en,Blen,Damien,Damien,,,,
86826f24,Blyleven,Bert,Rik Aalbert,1951,4,6,birth,en,Blijleven,Bert,Rik Aalbert,,,,
5416d666,Blomer,Jake,Jay C.,1915,7,22,alt-spelling,en,Bloomer,Jake,Jay C.,,,,
43634199,Blattner,Frank,Frank,1890,4,8,alias,en,Blukoi,Frank,Frank,,,,
10dabf5f,Blydell,Walter,Walter F.,1918,12,8,alias,en,Blydistel,Walter,Walter F.,,,,
2c24e3ea,Budura,Victor,Victor P.,1920,1,29,alt-spelling,en,Bodura,Victor,Victor,,,,
56b84fda,Bodan,Joseph,Joseph A.,1922,,,birth,en,Bogdanowicz,Joseph,Joseph A.,,,,
e03fa3e2,Baldelli-Boggs,Nick,Nick,,,,alias,en,Boggs,Nick,Nick,,,,
86291eae,Bohannon,Red,Luke Prior Blackburn,1883,4,8,birth,en,Bohannan,Luke,Luke Prior Blackburn,,,,
542bb052,Bohannon,Pat,Patrick Henry,1878,10,31,birth,en,Bohannan,Pat,Patrick Henry,,,,
