key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,key_npb,key_sr_nfl,key_sr_nba,key_sr_nhl,key_findagrave,name_last,name_first,name_given,name_suffix,name_matrilineal,name_nick,birth_year,birth_month,birth_day,death_year,death_month,death_day,pro_played_first,pro_played_last,mlb_played_first,mlb_played_last,col_played_first,col_played_last,pro_managed_first,pro_managed_last,mlb_managed_first,mlb_managed_last,col_managed_first,col_managed_last,pro_umpired_first,pro_umpired_last,mlb_umpired_first,mlb_umpired_last
a00006e8,a00006e8-863d-4e42-a446-5ef065c557e3,,,,,,,,,,,Roberts,Brianna,Brianna,,,,,,,,,,,,,,,,,,,,,,,,,
a00007d0,a00007d0-5763-43f5-94eb-c430db48087c,,,,mendoz000isi,,,,,,,Mendoza,Isidro,Isidro,,,,,,,,,,1976,1976,,,,,,,,,,,,,,
a000279e,a000279e-6fc0-48f0-a7a8-3e7217c9c24c,,,,moss--000cam,,,,,,,Moss,Cameron,Cameron,,,,,,,,,,,,,,2013,2013,,,,,,,,,,
a0002d50,a0002d50-533f-4a29-91a7-1d9a4a12d4c2,692312,,,speake000jac,,,,,,,Speaker,Jacob,Jacob,,,,2001,5,8,,,,,,,,2021,2021,,,,,,,,,,
a0005d7c,a0005d7c-32f7-43fb-a8e9-762bb63f62df,,,,kincai001bra,,,,,,,Kincaid,Brannon,Brannon,,,,,,,,,,,,,,2015,2016,,,,,,,,,,
a0007cc1,a0007cc1-b828-427c-9d3a-0ef5a5a8b376,,,,bossin000pet,,,,,,,Bossinas,Peter,Peter,,,,,,,,,,,,,,2020,2022,,,,,,,,,,
a000957b,a000957b-3e40-4c1a-bd51-d9435251d3c8,,,,garcia019jua,,,,,,,García,Juan,Juan,,Fabá,,,,,,,,1985,1995,,,,,,,,,,,,,,
a0009e41,a0009e41-34e3-4cac-9aea-abb78086a4f2,407299,baezb001,baezbe01,baez--001ben,1000408,,,,,,Baez,Benito,Benito,,Ceri,,1977,5,6,,,,1995,2008,2001,2001,,,,,,,,,,,,
a000bd8c,a000bd8c-8f10-42d0-b3e4-110853b4b218,,,,willia002kei,,,,,,,Williamson,Keith,Keith D.,,,,1935,,,,,,1953,1954,,,,,,,,,,,,,,
a000ef7f,a000ef7f-5229-44f6-a993-71168ecf10a3,,,,randol000mat,,,,,,,Randolph,Matt,Matt,,,,,,,,,,,,,,2017,2018,,,,,,,,,,
a000f9a5,a000f9a5-c14f-475c-8032-2f96b9c14d40,561685,,,lee---003ric,,,,,,,Lee,Kurt,Richard Kurt,,,,1961,4,8,,,,1983,1985,,,,,,,,,,,,,,
a0012d42,a0012d42-26f8-4589-b8f0-8d76c7f8fe64,,,,schulz000jor,,,,,,,Schulz,Jordan,Jordan,,,,,,,,,,,,,,2014,2017,,,,,,,,,,
a0016b68,a0016b68-d132-414a-b6cc-a64af0009cca,,,,snyder001and,,,,,,,Snyder,Andrew,Andrew,,,,,,,,,,,,,,2020,2022,,,,,,,,,,
a00179eb,a00179eb-8992-4e02-852a-db9688d4581a,,,,schick000jef,,,,,,,Schick,Jeff,Jeff,,,,,,,,,,,,,,2017,2019,,,,,,,,,,
a0018e9a,a0018e9a-63d1-4489-8aff-30b58718d91b,,,,johnso007dyl,,,,,,,Johnson,Dylan,Dylan,,,,,,,,,,,,,,2019,2020,,,,,,,,,,
a00194e9,a00194e9-19f8-4609-a616-acd631450268,,,,geissl000nat,,,,,,,Geissler,Nathan,Nathan,,,,,,,,,,,,,,2019,2021,,,,,,,,,,
